docid,title,author,inferred_date,pages_fic,pct_fic,totalpages
mdp.39015065998067,"A ramble through Holland, France, and Italy","Moore, W.",1793,175,0.55,320
mdp.39015027523300,The loves of Cámarúpa and Cámalatà,Talisīn-al-Dīn.,1793,274,0.91,302
uc2.ark+=13960=t6d21t12k,The Fables,Aesop.,1793,319,0.88,364
mdp.39015038670421,Letters to a wife,"Newton, John,",1793,161,0.47,341
uc2.ark+=13960=t8pc2z66x,The works of Laurence Sterne,"Sterne, Laurence,",1793,271,0.85,318
nyp.33433069322661,"A trip to Paris in July and August, 1792","Twiss, Richard,",1793,132,0.87,152
nyp.33433074931506,"The festival of wit; or, Small talker: being a collection of bon mots, anecdotes, &c., of the most exalted characters;",<blank>,1793,245,0.55,444
nyp.33433082412309,The confessions of the Countess of Strathmore;,"Strathmore, Mary Eleanor Bowes,",1793,94,0.82,114
nyp.33433074911789,Rosina,"Pilkington,",1793,273,0.94,290
nyp.33433075733406,The German Gil Blas;,"Kneigge, Adolf Franz Friedrich Ludwig,",1793,252,0.93,270
nyp.33433088073691,The fables of AEsop,<blank>,1793,283,0.78,364
njp.32101068932738,Works of the late Doctor Benjamin Franklin,"Franklin, Benjamin,",1793,170,0.5,340
njp.32101071963084,The devil upon two sticks,"Le Sage, Alain René,",1793,272,0.96,282
hvd.32044087388963,"A philosophical, historical, and moral essay on old maids","Hayley, William,",1793,138,0.46,298
hvd.hn1km3,Works of the late Doctor Benjamin Franklin,"Franklin, Benjamin,",1793,163,0.48,338
mdp.39015063931482,Memoirs of Mary,"Gunning,",1794,227,0.95,238
mdp.39015021250124,"Ellen, Countess of Castle Howel","Bennett,",1794,487,0.97,504
mdp.39015064447561,Herman of Unna,"Naubert, Benedikte,",1794,276,0.97,284
mdp.39015064447553,Herman of Unna,"Naubert, Benedikte,",1794,284,0.96,295
nnc1.1002330652,Turkish tales,"Moser, Joseph,",1794,193,0.89,216
nyp.33433074910815,The wanderings of Warwick,"Smith, Charlotte,",1794,286,0.95,302
nyp.33433074955117,The packet,"Gunning,",1794,173,0.95,182
nyp.33433074926092,The letters of the late Laurence Sterne to his most intimate friends,"Sterne, Laurence,",1794,121,0.44,278
njp.32101037605548,"Adolescence; or, Juvenile prosperity and cottage friendship","Davies, J.,",1794,96,0.54,178
dul1.ark+=13960=t15m6t508,Herman of Unna,"Naubert, Benedikte,",1794,270,0.94,288
mdp.39015063546520,Arundel,"Cumberland, Richard,",1795,305,0.96,319
njp.32101036889531,The banished man,"Smith, Charlotte,",1795,252,0.96,262
njp.32101036889523,The banished man,"Smith, Charlotte,",1795,298,0.97,308
nyp.33433074911599,Montalbert,"Smith, Charlotte,",1795,257,0.91,282
mdp.39015021028801,"The life of John Metcalf, commonly called Blind Jack of Knaresborough",<blank>,1795,81,0.47,174
uc2.ark+=13960=t0tq5sd9m,The life and surprising adventures of Frederick Baron Trenck,"Trenck, Friedrich,",1795,92,0.82,112
uc2.ark+=13960=t8bg2jx69,Secret journal of a self-observer,"Lavater, Johann Caspar,",1795,172,0.57,302
nyp.33433074909957,Henry;,"Cumberland, Richard,",1795,321,0.94,340
yale.39002088372348,A journey made in the summer of 1794,"Radcliffe, Ann Ward,",1795,480,0.96,500
njp.32101079667026,Visions,"Quevedo, Francisco de,",1795,273,0.92,298
mdp.39015063962032,Travels before the flood,<blank>,1796,376,0.8,471
mdp.39015063758570,The masquerade;,<blank>,1796,213,0.96,223
mdp.39015027179251,Theodore Cyphon,"Walker, George,",1796,263,0.95,276
mdp.39015009232102,Original stories from real life;,"Wollstonecraft, Mary,",1796,155,0.87,179
mdp.39015064408506,Albert de Nordenshild,"Cramer, Karl Gottlieb,",1796,347,0.96,362
mdp.39015031938452,"Private history of Peregrinus Proteus, the philosopher","Wieland, Christoph Martin,",1796,265,0.84,316
uc2.ark+=13960=t58c9t67v,Poems,"Hoccleve, Thomas,",1796,136,0.62,220
uc2.ark+=13960=t5t728t8q,"Camilla: or, A picture of youth","Burney, Fanny,",1796,468,0.96,486
nyp.33433075896377,Translation of the letters of a Hindoo rajah,"Hamilton, Elizabeth,",1796,335,0.94,356
nyp.33433067290126,The works of Mrs. Elizabeth Rowe,"Rowe, Elizabeth Singer,",1796,270,0.81,334
nyp.33433067290159,The works of Mrs. Elizabeth Rowe,"Rowe, Elizabeth Singer,",1796,183,0.46,400
njp.32101072911967,Memoirs of Madame de Barneveldt [pseud.],"Auvigny,",1796,353,0.96,368
njp.32101037606348,Modern Gulliver's travels,"Whitmore, H.",1796,194,0.77,252
hvd.hn6d2a,"Preceptive, moral, and sentimental pieces",<blank>,1796,22,0.73,30
mdp.39015020051689,A gossip's story,"West,",1797,416,0.86,484
mdp.39015023070538,The new encyclopaedia;,"Hall, William Henry,",1797,458,0.72,632
uc2.ark+=13960=t9668b76d,The history of Vanillo Gonzales,"Le Sage, Alain René,",1797,357,0.91,392
uc2.ark+=13960=t4rj4b523,"The works of Alexander Pope, esq.;","Pope, Alexander,",1797,201,0.44,452
njp.32101037019443,"Edmund and Eleonora, or, Memoirs of the houses of Summerfield & Gretton, a novel","Marshall, Edmund.",1797,269,0.69,390
njp.32101037042528,Disobedience,"Lewis, Alethea,",1797,270,0.96,280
njp.32101037572912,"The man of real sensibility: or, The history of Sir George Ellison","Scott, Sarah,",1797,98,0.92,106
hvd.hn2hdr,The force of example;,<blank>,1797,160,0.89,180
hvd.hw204v,"The history, or anecdotes, of the revolution in Russia, in the year 1762","Rulhière, Claude Carloman de,",1797,162,0.68,240
mdp.39015049814430,The deportment of a married life,"Stanhope, Eugenia,",1798,166,0.53,315
mdp.39015013469856,The works of don Francisco de Quevedo,"Quevedo, Francisco de,",1798,283,0.92,308
mdp.39015067113491,The works of don Francisco de Quevedo,"Quevedo, Francisco de,",1798,274,0.84,326
mdp.39015009195994,The works of don Francisco de Quevedo,"Quevedo, Francisco de,",1798,175,0.53,329
mdp.39015016483326,Fabulous histories,"Trimmer,",1798,164,0.9,182
uc2.ark+=13960=t9668b80z,The works of Laurence Sterne,"Sterne, Laurence,",1798,270,0.85,318
uc2.ark+=13960=t28912w8n,"Moral contrasts: or, the power of religion exemplified under different characters","Gilpin, William,",1798,197,0.8,246
uc2.ark+=13960=t4rj4b491,The observer,"Cumberland, Richard,",1798,173,0.52,332
nyp.33433006539765,Narrative of the loss of the ship Hercules,"Stout, Benjamin.",1798,68,0.59,116
yale.39002029844199,"A narrative of the extraordinary adventures, and sufferings by shipwreck & imprisonment, of Donald Campbell","Campbell, Donald,",1798,200,0.66,304
njp.32101068989910,Tales of the castle,"Genlis, Stéphanie Félicité,",1798,200,0.71,280
hvd.hn2ghs,Instructive rambles in London,"Helme, Elizabeth,",1798,149,0.7,214
hvd.hn6nfx,Letters of Madame Du Montier,"Leprince de Beaumont,",1798,340,0.93,364
mdp.39015011930800,The Observer,"Cumberland, Richard,",1799,160,0.47,338
mdp.39015030679487,Ellesmere,"Meeke, Mary,",1799,249,0.94,266
mdp.39015063692787,Carite and Polydorus,"Barthélemy, J.-J.",1799,153,0.65,234
mdp.39015078572339,"The new Robinson Crusoe, designed for the amusement and instruction of the youth of both sexes","Campe, Joachim Heinrich,",1799,124,0.93,134
nyp.33433074948567,"Frederic Latimer; or, The history of a young man of fashion",<blank>,1799,165,0.87,190
uc2.ark+=13960=t1ng4kw2z,Canterbury tales,"Lee, Harriet,",1799,418,0.97,432
nyp.33433074911748,The false friend,"Robinson, Mary Darby,",1799,337,0.97,348
nyp.33433074918768,The vagabond,"Walker, George,",1799,238,0.88,270
njp.32101067635050,"The hare; or, Hunting incompatible with humanity",<blank>,1799,155,0.73,212
njp.32101074630169,Romulus,"Lafontaine, August Heinrich Julius,",1799,333,0.96,348
njp.32101076970548,The travels of Antenor in Greece and Asia,"Lantier, Etienne François de,",1799,295,0.68,436
mdp.39015063947199,The prophetic warning;,<blank>,1800,36,0.78,46
mdp.39015063931862,The history of Zoa,<blank>,1800,61,0.9,68
nyp.33433074910260,Mordaunt,"Moore, John,",1800,234,0.56,416
mdp.39015059375132,"The progress of the pilgrim Good-Intent, in Jacobinical times","[Burges, Mary Anne]",1800,199,0.94,212
mdp.39015063977683,The female pilgrim;,"Mitchell, John,",1800,312,0.69,453
mdp.39015078555755,The life and adventures of Robinson Crusoe,"Defoe, Daniel,",1800,46,0.79,58
nyp.33433074911540,The letters of a solitary wanderer,"Smith, Charlotte,",1800,307,0.94,326
nyp.33433074911557,The letters of a solitary wanderer,"Smith, Charlotte,",1800,317,0.95,332
nyp.33433074911565,The letters of a solitary wanderer,"Smith, Charlotte,",1800,375,0.94,398
nyp.33433074911573,The letters of a solitary wanderer,"Smith, Charlotte,",1800,273,0.92,296
nyp.33433074911581,The letters of a solitary wanderer,"Smith, Charlotte,",1800,296,0.93,318
uc2.ark+=13960=t7sn02x86,"Officer, artist, and miner",<blank>,1800,46,0.59,78
uc2.ark+=13960=t17m05c2d,Dead!,"Ostlere, May.",1800,531,0.93,568
uc2.ark+=13960=t0vq2tk41,Lady Clarissa,"Wordboise, Emma Jane.",1800,541,0.94,576
uc2.ark+=13960=t80k2b055,"""Ask mamma"", or, The richest commoner in England","Surtees, Robert Smith,",1800,459,0.95,484
uc2.ark+=13960=t6j100k87,"""Plain or ringlets?""","Surtees, Robert Smith,",1800,312,0.71,438
uc2.ark+=13960=t6f19705j,Select comic tales from the best authors,<blank>,1800,205,0.9,228
nnc1.0061913537,"Physiognomical travels, preceded by a physiognomical journal","Musäus, Johann Karl August,",1800,168,0.55,304
nyp.33433074955034,Men and manners,"Lathom, Francis,",1800,339,0.96,354
nyp.33433075724090,"The Armenian; or, The ghost seer","Schiller, Friedrich,",1800,193,0.8,242
nyp.33433075813646,"Zadig: or, The book of fate","Voltaire,",1800,141,0.87,162
nyp.33433081584223,"Feudal events; or, Days of yore","Mackenzie, Anna Maria.",1800,237,0.88,268
nyp.33433074913264,The Mourtray family,"Hervey, Elizabeth,",1800,302,0.95,318
uiuo.ark+=13960=t9572451c,Ankerwick Castle,"Croffts,",1800,287,0.94,304
uiuo.ark+=13960=t2g74094k,The Martins of Cro' Martin,"Lever, Charles James,",1800,394,0.92,428
uiuo.ark+=13960=t7cr6hq4j,Memoirs of modern philosophers,"Hamilton, Elizabeth,",1800,350,0.96,364
uiuo.ark+=13960=t89g6bx9g,The son of Ethelwolf,"Fuller,",1800,241,0.93,260
njp.32101068142072,Forbidden apartments,"Linley, W.",1800,276,0.91,302
ucm.5320307018,"Tales, anecdotes, and letters",<blank>,1800,435,0.95,460
njp.32101037604772,St. Godwin,"Du Bois, Edward,",1800,255,0.93,274
hvd.hn2he5,"The Governess, or, Evening amusements at a boarding school",<blank>,1800,219,0.93,236
hvd.hn2he4,"The shepherd's son, or, The wish accomplished","Smith, Thomas,",1800,174,0.94,186
mdp.39015065769419,Splendid misery,"Surr, T. S.",1801,258,0.96,268
mdp.39015078569970,The reprobate,"Doubtful, David,",1801,36,0.9,40
njp.32101068598901,The miscellaneous works of Oliver Goldsmith,"Goldsmith, Oliver,",1801,196,0.47,420
mdp.39015078563346,The works of the Rev. Jonathan Swift,"Swift, Jonathan,",1801,188,0.49,386
uc2.ark+=13960=t3st7gf7p,A dialogue on the distinct characters of the picturesque and the beautiful,"Price, Uvedale,",1801,121,0.51,238
uc2.ark+=13960=t6pz5d01n,"Tuti-namah. The Tooti nameh, or Tales of a parrot",<blank>,1801,245,0.72,340
nnc1.0037962892,The works of Hannah More,"More, Hannah,",1801,442,0.88,500
nyp.33433074967500,Castle Rackrent;,"Edgeworth, Maria,",1801,176,0.72,244
nyp.33433074968227,Romances,"Disraeli, Isaac,",1801,171,0.66,258
nyp.33433074911300,"Martyn of Fenrose; or, The wizard and the sword","Summersett, Henry.",1801,239,0.94,254
nyp.33433075840169,"Louisa, a narrative of facts",<blank>,1801,111,0.65,172
uiuo.ark+=13960=t2k64tq5z,Belmour,"Damer, Anne Seymour Conway,",1801,260,0.95,274
uiuo.ark+=13960=t63496n5k,Grasville Abbey,"Moore, George,",1801,257,0.93,276
uiuo.ark+=13960=t6nz8qp53,The microcosm,"Acton, Eugenia de,",1801,270,0.94,288
uiuo.ark+=13960=t5h99gq2h,Old Nick;,"Du Bois, Edward,",1801,219,0.91,240
uiuo.ark+=13960=t44q8kw5h,St. Margaret's cave,"Helme, Elizabeth,",1801,286,0.96,298
njp.32101035651049,Letters from the Marchioness de Sévigné to her daughter the Countess de Grignan,"Sévigné, Marie de Rabutin-Chantal,",1801,175,0.63,276
njp.32101068167194,Percival,"Dallas, Robert Charles,",1801,326,0.94,346
njp.32101074210913,Sketches of the state of manners and opinions in the French republic,"Williams, Helen Maria,",1801,325,0.94,346
njp.32101076417573,The Bakhtyar nameh;,<blank>,1801,119,0.89,134
hvd.hxj9j6,Tūtī-namāh,<blank>,1801,215,0.63,342
njp.32101065836585,Which is the man?,"Meeke, Mary,",1801,277,0.96,290
njp.32101064631763,Raymond,"Sickelmore, Richard.",1801,264,0.92,286
hvd.32044018178632,Las guerras civiles;,"Pérez de Hita, Ginés,",1801,422,0.9,468
hvd.hn2ghj,"Juvenile biography; or, lives of celebrated children","Josse, Auguste-Louis,",1801,321,0.69,464
hvd.hn1qv9,"The moral legacy; or, Simple narratives",<blank>,1801,357,0.93,384
hvd.hn2heh,Sketches from nature,<blank>,1801,122,0.81,150
mdp.39015027528697,The infernal Quixote,"Lucas, Charles,",1802,376,0.96,392
uc2.ark+=13960=t8df6pq05,Welsh legends,<blank>,1802,227,0.74,308
uc1.b3549806,"Monkish mysteries; or, The miraculous escape: containing the history and the villanies of the monk Bertrand;",<blank>,1802,38,0.79,48
nnc1.0037105930,The orphans of Llangloed,<blank>,1802,253,0.97,262
nyp.33433081958500,Memoirs of the year two thousand five hundred,"Mercier, Louis-Sébastien,",1802,303,0.95,318
uiuo.ark+=13960=t22b9bx7f,Home,"Cullen, Margaret.",1802,333,0.95,350
nyp.33433074954953,Home,"Cullen, Margaret.",1802,310,0.96,324
uiuo.ark+=13960=t2z32gn5j,The infidel father,"West,",1802,310,0.95,326
uiuo.ark+=13960=t6vx10k7w,"The white knight, or, The monastery of Morne","Melville, Theodore.",1802,195,0.81,240
njp.32101063579567,"Julietta; or, The triumph of mental acquirements over personal defects","Parnell, William.",1802,202,0.92,220
njp.32101073253690,Arabian Night's entertainments,<blank>,1802,329,0.95,348
hvd.hwk15s,The Arabian nights,<blank>,1802,482,0.96,500
mdp.39015063939006,The Northumbrian chieftain,"M'Arthur, Joseph D.",1803,55,0.86,64
mdp.39015005633568,The works of Laurence Sterne,"Sterne, Laurence,",1803,250,0.87,286
uc1.b3553822,The history of Henry Thomson,"Corry, John,",1803,38,0.79,48
uc2.ark+=13960=t2f76p82w,The works of the Right Honourable Lady Mary Wortley Montagu,"Montagu, Mary Wortley,",1803,137,0.42,328
nyp.33433051569915,Russian tales,"Karamzin, Nikolaĭ Mikhaĭlovich,",1803,263,0.92,286
nyp.33433082477633,"Travels from Moscow, through Prussia, Germany, Switzerland, France , and England","Karamzin, Nikolaĭ Mikhaĭlovich,",1803,160,0.55,290
nyp.33433074951595,Romance of the Pyrenees,"Cuthbertson, Catherine.",1803,338,0.95,356
uiuo.ark+=13960=t5q81zv8g,Don Raphael,"Walker, George,",1803,331,0.97,340
uiuo.ark+=13960=t97660n1s,"La belle sauvage, or A progress through the beau-monde","Lyttleton, M.",1803,241,0.82,294
uiuo.ark+=13960=t9n30cc0p,"Peregrine, or, The fool of fortune","Lyttleton, M.",1803,266,0.95,280
uiuo.ark+=13960=t0bv84w96,"Right and wrong; or, The kinsmen of Naples","Young, Mary Julia.",1803,236,0.95,248
njp.32101007962481,Wonderful wives ;,<blank>,1803,30,0.48,62
njp.32101045231014,Amadís de Gaul,<blank>,1803,287,0.86,334
njp.32101068177086,Old Nick;,"Du Bois, Edward,",1803,223,0.91,244
njp.32101068588936,"The works of the Rev. Jonathan Swift, D.D., Dean of St. Patrick's, Dublin","Swift, Jonathan,",1803,229,0.65,354
hvd.rslej1,Women: their condition and influence in society,"Ségur, Alexandre-Joseph-Pierre,",1803,203,0.57,358
hvd.rslysq,Female biography;,"Hays, Mary,",1803,262,0.53,496
hvd.hn3cxb,The adventures of the renowned Don Quixote de la Mancha,"Cervantes Saavedra, Miguel de,",1803,306,0.92,332
hvd.hn2tpv,Letters from Mrs. Palmerstone to her daughter;,"Hunter, Rachel,",1803,246,0.9,272
hvd.hn2hep,"The rational brutes, or, Talking animals","Kilner, Dorothy,",1803,158,0.88,180
uva.x000468330,The civil wars of Granada;,"Pérez de Hita, Ginés,",1803,209,0.45,460
dul1.ark+=13960=t7gq7nx79,"St. Clair, or, The heiress of Desmond","Morgan,",1803,208,0.79,264
mdp.39015005061430,Letters written by the late Earl of Chatham to his nephew Thomas Pitt ... (afterwards Lord Camelford),"Pitt, William,",1804,72,0.49,148
uiuo.ark+=13960=t8nc6b618,The eve of San-Pietro,<blank>,1804,284,0.93,304
mdp.39015014653201,Confessions in Elysium,"Wieland, Christoph Martin,",1804,211,0.89,236
mdp.39015020079896,An apology for the conduct of the Gordons;,"Gordon, Loudoun Harcourt.",1804,118,0.74,160
uc2.ark+=13960=t4nk38459,"Letters written by the late Earl of Chatham to his nephew, Thomas Pitt, esq","Pitt, William,",1804,75,0.52,144
uc2.ark+=13960=t3gx4dk9q,"Circumstances respecting the late Charles Montford, esq","Harley, George Davies,",1804,138,0.47,294
uiuo.ark+=13960=t06x01570,"A picture from life: or, The history of Emma Tankerville and Sir Henry Moreton","Whitfield, Henry,",1804,238,0.92,260
nyp.33433074951942,Aubrey,"Dallas, Robert Charles,",1804,231,0.89,260
uiuo.ark+=13960=t9q24623t,Modern literature;,"Bisset, Robert,",1804,338,0.95,356
uiuo.ark+=13960=t1pg2cj2j,Popular tales,"Edgeworth, Maria,",1804,381,0.95,402
uiuo.ark+=13960=t08w42g96,"The pride of ancestry: or, Who is she?","Pigott, Harriet,",1804,258,0.97,266
uiuo.ark+=13960=t1qf9705s,"Village anecdotes; or, The journal of a year, from Sophia to Edward","Le Noir, Elizabeth Anne,",1804,255,0.92,276
uiuo.ark+=13960=t3pv74d80,Virtuous poverty,"Siddons, Henry,",1804,281,0.95,296
njp.32101066459429,"Sherwood forest; or, Northern adventures;","Gooch, Elizabeth Sarah Villa-Real,",1804,227,0.89,254
hvd.hn6gv5,"Stories for children, intended to be read or recited to them in early periods of infancy","Plumptre, Anabella.",1804,131,0.84,156
hvd.hn2her,"The Tame goldfinch,or The unfortunate neglect",<blank>,1804,40,0.8,50
mdp.39015016424130,"The pilgrim of the cross; or, The chronicles of Christabelle de Mowbray","Helme, Elizabeth,",1805,259,0.89,290
mdp.39015078547430,Zelia in the desert;,"Daubenton,",1805,34,0.81,42
uc1.b4107899,Memoirs of Bryan Perdue,"Holcroft, Thomas,",1805,228,0.75,306
hvd.hwspyj,The bravo of Venice,"Zschokke, Heinrich,",1805,339,0.93,364
uiuo.ark+=13960=t6sx6xd8k,Adeline Mowbray,"Opie, Amelia Alderson,",1805,237,0.94,252
nyp.33433074931852,Flim-flams!,"Disraeli, Isaac,",1805,228,0.68,336
nyp.33433082456462,Walks and sketches at the Cape of Good Hope to which is subjoined a journey from Cape Town to Blettenberg's Bay,"Semple, Robert,",1805,115,0.55,210
uc1.b3294822,"Specimens of early English metrical romances, chiefly written during the early part of the fourteenth century","Ellis, George,",1805,291,0.67,434
nnc1.0114906937,Peruvian letters,"Grafigny,",1805,343,0.82,420
nnc1.1002356589,Two pilgrims;,<blank>,1805,193,0.88,220
uva.x001850257,The works of Solomon Gessner;,"Gessner, Salomon,",1805,171,0.53,320
nyp.33433000182331,Rasselas,"Johnson, Samuel,",1805,211,0.93,226
nyp.33433011462466,A dialogue in the shades,"Perry, William.",1805,75,0.52,144
nyp.33433074869425,"Effusions of love from Chatelar to Mary, queen of Scotland","Ireland, W. H.",1805,157,0.89,176
nyp.33433076082514,Beauties of English prose,"Melmoth, Sydney.",1805,181,0.49,368
nyp.33433088073717,Fables of Aesop and others,<blank>,1805,348,0.92,378
uiuo.ark+=13960=t9474p035,The homicide,"Charlton, Mary.",1805,301,0.97,310
dul1.ark+=13960=t89g6ct7k,The modern Griselda,"Edgeworth, Maria,",1805,203,0.92,220
hvd.hn21hk,Thaddeus of Warsaw,"Porter, Jane,",1805,274,0.94,292
dul1.ark+=13960=t5bc4sx44,The affecting history of Caroline;,<blank>,1805,31,0.7,44
uiuo.ark+=13960=t16m3wk0n,A winter in London;,"Surr, T. S.",1806,279,0.96,292
mdp.39015047645893,A winter in London;,"Surr, T. S.",1806,266,0.96,276
uiuo.ark+=13960=t8rb7p983,Simple tales,"Opie, Amelia Alderson,",1806,354,0.96,370
mdp.39015063608346,Simple tales,"Opie, Amelia Alderson,",1806,299,0.95,316
uiuo.ark+=13960=t96692w8z,Simple tales,"Opie, Amelia Alderson,",1806,326,0.96,340
uiuo.ark+=13960=t2w38cp5d,Simple tales,"Opie, Amelia Alderson,",1806,285,0.95,300
mdp.39015003341834,The works of Henry Fielding;,"Fielding, Henry,",1806,257,0.54,479
mdp.39015003341800,The works of Henry Fielding;,"Fielding, Henry,",1806,381,0.86,443
mdp.39015003341818,The works of Henry Fielding;,"Fielding, Henry,",1806,527,0.84,625
mdp.39015003341768,The works of Henry Fielding;,"Fielding, Henry,",1806,325,0.66,496
mdp.39015003341792,The works of Henry Fielding;,"Fielding, Henry,",1806,346,0.77,451
nyp.33433075729792,Leonora,"Edgeworth, Maria,",1806,248,0.83,300
mdp.39015078572479,The history of Robinson Crusoe,"Campe, Joachim Heinrich,",1806,109,0.91,120
uc1.b3325752,"Charles Ellis, or, The friends","Semple, Robert,",1806,244,0.95,258
nyp.33433074915129,The novice of Saint Dominick,"Morgan,",1806,365,0.96,380
uc2.ark+=13960=t3pv6bn87,The Christmas fire-side,"Wheatley, Sarah.",1806,101,0.47,214
nnc1.0037961608,Flim-flams!,"Disraeli, Isaac,",1806,158,0.45,350
uiuo.ark+=13960=t6d22jj5t,Delmore,"Roberts,",1806,231,0.91,254
uiuo.ark+=13960=t8bg39w1x,"The maid, wife, and widow","Siddons, Henry,",1806,285,0.97,294
uiuo.ark+=13960=t14m9ft6z,Vicissitudes abroad;,"Bennett,",1806,317,0.98,324
uiuo.ark+=13960=t86h4xr9x,"Vivonio, or, The hour of retribution","Frances, Sophia L.",1806,234,0.77,304
njp.32101030687592,Classic tales,<blank>,1806,215,0.61,354
njp.32101028206678,Classic tales,<blank>,1806,208,0.58,356
njp.32101030687576,Classic tales,<blank>,1806,169,0.48,354
njp.32101030687584,Classic tales,<blank>,1806,306,0.87,352
njp.32101028206660,Classic tales,<blank>,1806,221,0.64,346
njp.32101032329045,Feudal tyrants;,"Lewis, M. G.",1806,310,0.95,326
uc1.$b522186,Madame de Maintenon,"Genlis, Stéphanie Félicité,",1806,285,0.93,306
njp.32101065863100,Oddities and outlines,"Mangin, Edward,",1806,104,0.49,212
uc2.ark+=13960=t78s4kw9p,Jack and Jill and old Dame Gill,<blank>,1806,33,0.82,40
hvd.hw2fxy,The miscellaneous works of Oliver Goldsmith,"Goldsmith, Oliver,",1806,208,0.6,346
hvd.hwg1vy,A spring-day,"Fisher, James,",1806,282,0.79,358
uva.x002589579,The works of Oliver Goldsmith,"Goldsmith, Oliver,",1806,195,0.47,416
mdp.39015014117546,The Hungarian brothers,"Porter, Anna Maria,",1807,231,0.9,257
mdp.39015031936308,The works of Mrs. Chapones now first collected,"Chapone,",1807,120,0.56,214
nyp.33433087358499,"Classic tales, serious and lively",<blank>,1807,215,0.62,344
nyp.33433087358507,"Classic tales, serious and lively",<blank>,1807,206,0.6,344
nyp.33433087358515,"Classic tales, serious and lively",<blank>,1807,160,0.47,344
nyp.33433087358523,"Classic tales, serious and lively",<blank>,1807,303,0.89,342
nyp.33433087358531,"Classic tales, serious and lively",<blank>,1807,221,0.64,344
nyp.33433082238209,Palmerin of England,<blank>,1807,467,0.85,548
uc2.ark+=13960=t82j6cs08,Letters from the mountains;,"Grant, Anne MacVicar,",1807,124,0.51,244
nyp.33433075733430,Novellettes,"Kotzebue, August von,",1807,269,0.93,288
