author	inferreddate	shorttitle	place
	1792.0	Arabian tales; or, A continuation of the Arabian nights entertainments	stk
Salzmann, Christian Gotthilf	1792.0	Elements of morality, for the use of children : with an introductory address to parents	enk
	1792.0	Arabian tales : being a continuation of the Arabian nights entertainments, consisting of one thousand and one stories	stk
Goldsmith, Oliver	1792.0	The miscellaneous works of Dr. Goldsmith : in four volumes, containing the Citizen of the World, The Vicar of Wakefield, essays, poems and plays	stk
Thomson, James	1792.0	The denial, or The happy retreat; a novel	enk
	1793.0	The Minstrel; or, Anecdotes of distinguished personages in the fifteenth century [a novel]	enk
Radcliffe, Ann Ward	1793.0	The castles of Athlin and Dunbayne. A Highland story	enk
Moore, W. (Wilson)	1793.0	A ramble through Holland, France, and Italy	enk
Talisīn-al-Dīn	1793.0	The loves of Cámarúpa and Cámalatà : an ancient Indian tale : elucidating the customs and manners of the Orientals : in a series of adventures of Rajah Cámarúpa and his companions	enk
Aesop	1793.0	The Fables	enk
Newton, John	1793.0		enk
Goldsmith, Oliver	1793.0	The vicar of Wakefield	enk
Sterne, Laurence	1793.0	The works of Laurence Sterne	enk
Twiss, Richard	1793.0	A trip to Paris in July and August, 1792	enk
	1793.0	The festival of wit; or, Small talker: being a collection of bon mots, anecdotes, &c., of the most exalted characters;	enk
Countess of, Strathmore, Mary Eleanor Bowes	1793.0	The confessions of the Countess of Strathmore;	enk
Pilkington, (Mary), Mrs	1793.0	Rosina: a novel	enk
Freiherr von, Kneigge, Adolf Franz Friedrich Ludwig	1793.0	The German Gil Blas; or The adventures of Peter Claus	enk
	1793.0	The fables of AEsop : with a life of the author : and embellished with one hundred & twelve plates	enk
Franklin, Benjamin	1793.0	Works of the late Doctor Benjamin Franklin, consisting of his life written by himself, together with Essays, humorous, moral & literary, chiefly in the manner of the Spectator. In two volumes	enk
Le Sage, Alain René	1793.0	The devil upon two sticks : translated from the Diable boiteaux of M. Le Sage : embellished with engravings : to which are prefixed Asmodeus's crutches, a critical letter upon the work, and Dialogues between two chimnies of Madrid	enk
Fielding, Henry	1793.0	Amelia	enk
Hayley, William	1793.0	A philosophical, historical, and moral essay on old maids	enk
Franklin, Benjamin	1793.0	Works of the late Doctor Benjamin Franklin, consisting of his life written by himself, together with Essays, humorous, moral & literary, chiefly in the manner of the Spectator	enk
Gunning, (Susannah), Mrs	1794.0	Memoirs of Mary, a novel	enk
Bennett, (Agnes Maria), Mrs	1794.0	Ellen, Countess of Castle Howel, a novel	enk
Naubert, Benedikte	1794.0	Herman of Unna: a series of adventures of the fifteenth century, in which the proceedings of the secret tribunal under the emperors Winceslaus and Sigismond, are delineated	enk
Naubert, Benedikte	1794.0	d ed	enk
Moser, Joseph	1794.0	Turkish tales	enk
Jephson, Robert	1794.0	The confessions of James Baptiste Couteau, citizen of France	enk
Smith, Charlotte Turner	1794.0	The wanderings of Warwick	enk
Miss Gunning, (Elizabeth)	1794.0	The packet: a novel	enk
Sterne, Laurence	1794.0	The letters of the late Laurence Sterne to his most intimate friends : with a fragment in the manner of Rabelais	enk
Davies, J	1794.0	Adolescence; or, Juvenile prosperity and cottage friendship	enk
Naubert, Benedikte	1794.0	Herman of Unna	enk
Cumberland, Richard	1795.0	Arundel	enk
Smith, Charlotte Turner	1795.0	d ed	enk
Smith, Charlotte Turner	1795.0	The banished man: a novel	enk
Smith, Charlotte Turner	1795.0	Montalbert : a novel	enk
	1795.0	The life of John Metcalf, commonly called Blind Jack of Knaresborough. With many entertaining anecdotes of his exploits in hunting, card-playing, &c. Some particulars relative to the expedition against the rebels in 1745, in which he bore a personal share; and also a succinct account of his various contracts for making roads, erecting bridges, and other undertakings, in Yorkshire, Derbyshire, and Cheshire	enk
Trenck, Friedrich	1795.0	The life and surprising adventures of Frederick Baron Trenck	enk
Lavater, Johann Caspar	1795.0	Secret journal of a self-observer	enk
Cumberland, Richard	1795.0	Henry;	enk
Radcliffe, Ann Ward	1795.0	A journey made in the summer of 1794 : through Holland and the western frontier of Germany, with a return down the Rhine : to which are added, observations during a tour to the lakes of Lancashire, Westmoreland, and Cumberland	enk
Quevedo, Francisco de	1795.0	Visions	enk
	1796.0	Travels before the flood. An interesting oriental record of men and manners in the antidiluvian world, interpreted in fourteen evening conversations between the caliph of Bagdad & his court	enk
	1796.0	The masquerade; or, The history of Lord Avon and Miss Tameworth	enk
Walker, George	1796.0	Theodore Cyphon: or, The benevolent Jew. A novel	enk
Wollstonecraft, Mary	1796.0	Original stories from real life; with conversations, calculated to regulate the affections, and form the mind to truth and goodness	enk
Cramer, Karl Gottlieb	1796.0	Albert de Nordenshild: or, The modern Alcibiades. A novel, tr. from the German	enk
Wieland, Christoph Martin	1796.0	Private history of Peregrinus Proteus, the philosopher	enk
Hoccleve, Thomas	1796.0	Poems	enk
Burney, Fanny	1796.0	Camilla: or, A picture of youth	enk
Brewer, George	1796.0	The Siamese tales : being a collection of stories told to the son of the Mandarin Sam-Sib, for the purpose of engaging his mind in the love of truth and virtue : with an historical account of the Kingdom of Siam : to which is added The principle maxims of the Talapoins	enk
Hamilton, Elizabeth	1796.0	Translation of the letters of a Hindoo rajah : written previous to, and during the period of his residence in England : to which is prefixed a preliminary dissertation on the history, religion, and manners, of the Hindoos	enk
Rowe, Elizabeth Singer	1796.0	&	enk
Rowe, Elizabeth Singer	1796.0	Dialogues.  Familiar letters.  Life of the author	enk
Lewis, M. G. (Matthew Gregory)	1796.0	The monk: a romance	enk
M. d' Auvigny, (Jean Du Castre)	1796.0	Memoirs of Madame de Barneveldt [pseud.]	enk
Whitmore, H	1796.0	Modern Gulliver's travels. Lilliput: being a new journey to that celebrated island. Containing a faithful account of the manners, character, customs, religion, laws, politics, revenue, taxes, learning, general progress in arts and sciences, dress, amusements, and gallantry of those famous little people. From the year 1702, when they were first discovered and visited by Captain Lemuel Gulliver, the father of the compiler of this work, to the present aera 1796	enk
Mavor, William Fordyce	1796.0	The juvenile olio, or Mental medley : consisting of original essays, moral and literary, tales, fables, reflections, &c. intended to correct the judgement, to improve the taste, to please the fancy, and to humanize the mind	enk
	1796.0	Preceptive, moral, and sentimental pieces. On the duties of the young	enk
West, (Jane), Mrs	1797.0	A gossip's story, and a legendary tale	enk
Hall, William Henry	1797.0	The new encyclopaedia; or, Modern universal dictionary of arts and sciences. On a new and improved plan. In which all the ... sciences are arranged into complete systems, the arts digested into distinct treatises, and philosophical subjects introduced in separate dissertations ... Including all the material information that is contained in Chambers's Cyclopaedia, the Encyclopaedia Britannica, and the French Encyclopedie	enk
Le Sage, Alain René	1797.0	The history of Vanillo Gonzales	enk
Pope, Alexander	1797.0	The works of Alexander Pope, esq.;	enk
	1797.0	The Selector : being a new and chaste collection of visions, tales, and allegories, calculated for the amusement and instruction of the rising generation	enk
Marshall, Edmund	1797.0	Edmund and Eleonora, or, Memoirs of the houses of Summerfield & Gretton, a novel	enk
Lewis, Alethea	1797.0	Disobedience. A novel	enk
Pilkington, (Mary), Mrs	1797.0	Edward Barnard, or, Merit exalted : containing the history of the Edgerton family	enk
Scott, Sarah	1797.0	The man of real sensibility: or, The history of Sir George Ellison. : Founded on fact	stk
	1797.0	The Children's miscellany : in which is included The history of little Jack, by Thomas Day, esq	enk
Lovechild, Mrs	1797.0	Reading lessons	enk
	1797.0	The force of example; or, The history of Henry and Caroline: written for the instruction and amusement of young persons	enk
Rulhière, Claude Carloman de	1797.0	The history, or anecdotes, of the revolution in Russia, in the year 1762. Tr. from the French	enk
Stanhope, Eugenia	1798.0	The deportment of a married life: laid down in a series of letters	enk
Quevedo, Francisco de	1798.0		stk
Quevedo, Francisco de	1798.0	The author's life. The visions	stk
Quevedo, Francisco de	1798.0	The life of Paul the Spanish sharp	stk
Trimmer, (Sarah), Mrs	1798.0	Fabulous histories. Designed for the instruction of children, respecting their treatment of animals	enk
Sterne, Laurence	1798.0	The works of Laurence Sterne	enk
Gilpin, William	1798.0	Moral contrasts: or, the power of religion exemplified under different characters	enk
Cumberland, Richard	1798.0	The observer	enk
Stout, Benjamin	1798.0	Narrative of the loss of the ship Hercules, commanded by Captain Benjamin Stout, on the coast of Caffraria, the 16th of June, 1796; also, a circumstantial detail of his travels through the southern deserts of Africa, and the colonies, to the Cape of Good Hope. With an introductory address to the Rt. Honourable John Adams, president of the Continental Congress of America	enk
Smith, Charlotte Turner	1798.0	The young philosopher : a novel	enk
Campbell, Donald	1798.0	A narrative of the extraordinary adventures, and sufferings by shipwreck & imprisonment, of Donald Campbell ... : with the singular humours of his Tartar guide Hassan Artaz; comprising the occurrences of four years and five days, in an overland journey to India	enk
comtesse de, Genlis, Stéphanie Félicité	1798.0	th ed	enk
Pinchard, Elizabeth Sibthorpe	1798.0	The two cousins : a moral story for the use of young persons : in which is exemplified the necessity of moderation and justice to the attainment of happiness	enk
Helme, Elizabeth	1798.0	Instructive rambles in London, and the adjacent villages. Designed to amuse the mind, and improve the understanding of youth	enk
Madame Leprince de Beaumont, (Jeanne-Marie)	1798.0	Letters of Madame Du Montier	enk
Pilkington, (Mary), Mrs	1798.0	Tales of the hermitage : written for the instruction and amusement of the rising generation	enk
Wakefield, Priscilla	1798.0	Juvenile anecdotes, founded on facts : collected for the amusement of children	enk
Cumberland, Richard	1799.0	The Observer: being a collection of moral, literary and familiar essays	enk
West, (Jane), Mrs	1799.0	d ed	enk
Meeke, Mary	1799.0	Ellesmere. A novel	enk
Barthélemy, J.-J. (Jean-Jacques)	1799.0	Carite and Polydorus	enk
Campe, Joachim Heinrich	1799.0	The new Robinson Crusoe, designed for the amusement and instruction of the youth of both sexes. Translated from the original German	enk
	1799.0	Frederic Latimer; or, The history of a young man of fashion	enk
Lee, Harriet	1799.0	Canterbury tales	enk
West, (Jane), Mrs	1799.0	A tale of the times	enk
Robinson, Mary Darby	1799.0	The false friend: a domestic story	enk
Walker, George	1799.0	The vagabond : a novel	enk
	1799.0	The hare; or, Hunting incompatible with humanity	enk
Marmontel, Jean François	1799.0	Marmontel's tales	enk
Lafontaine, August Heinrich Julius	1799.0	Romulus, a tale of ancient times	enk
Lantier, Etienne François de	1799.0	The travels of Antenor in Greece and Asia : from a Greek manuscript found at Herculaneum : including some account of Egypt	enk
Pilkington, (Mary), Mrs	1799.0	The budget, or Moral and entertaining fragments. : Representing the punishment of vice, and the reward of virtue	enk
Kendall, Edward Augustus	1799.0	The canary bird : a moral fiction : interspersed with poetry	enk
, Lady	1799.0	Memoirs of the Danby family : designed chiefly for the entertainment and improvement of young persons	enk
	1800.0	The prophetic warning; or, The castle of Lindendorff. An original romance	enk
	1800.0	The history of Zoa, the beautiful Indian, daughter of Henrietta de Bellgrave; and of Rodomond	enk
Moore, John	1800.0	Mordaunt. Sketches of life, characters, and manners, in various countries; including the Memoirs of a French lady of quality	enk
[Burges, Mary Anne]	1800.0	The progress of the pilgrim Good-Intent, in Jacobinical times	enk
allegorist. Mitchell, John	1800.0	The female pilgrim; or, The travels of Hephzibah. Under the similitude of a dream ... Interspersed with variety of reflections, dialogues, songs, &c	enk
Defoe, Daniel	1800.0	The life and adventures of Robinson Crusoe. Embellished with elegant engravings	enk
Smith, Charlotte Turner	1800.0	The story of Edouarda	enk
Smith, Charlotte Turner	1800.0	The story of Henrietta	enk
Smith, Charlotte Turner	1800.0	The story of Corisande	enk
Smith, Charlotte Turner	1800.0	The Hungarian	enk
Smith, Charlotte Turner	1800.0	The Hungarian (con't.) Leonora.  Guilelmine de Mortivalle	enk
Surtees, Robert Smith	1800.0	Mr. Sponge's sporting tour	enk
	1800.0	Officer, artist, and miner	enk
Ostlere, May	1800.0	Dead!	enk
Wordboise, Emma Jane	1800.0	Lady Clarissa	enk
Surtees, Robert Smith	1800.0	"""Ask mamma"", or, The richest commoner in England"	enk
Surtees, Robert Smith	1800.0	"""Plain or ringlets?"""	enk
Trollope, Anthony	1800.0	[Sir Harry Hotspur]	enk
	1800.0	Select comic tales from the best authors	stk
Musäus, Johann Karl August	1800.0	Physiognomical travels, preceded by a physiognomical journal	enk
Lathom, Francis	1800.0	Men and manners, a novel. $n: In four volumes	enk
Schiller, Friedrich	1800.0	The Armenian; or, The ghost seer	enk
Voltaire	1800.0	Zadig: or, The book of fate, an oriental history	enk
Mackenzie, Anna Maria	1800.0	Feudal events; or, Days of yore. An ancient story	enk
Hervey, Elizabeth	1800.0	The Mourtray family. A novel	enk
Croffts	1800.0	Ankerwick Castle	enk
Lever, Charles James	1800.0	The Martins of Cro' Martin	enk
Hamilton, Elizabeth	1800.0	Memoirs of modern philosophers	enk
Fuller	1800.0	The son of Ethelwolf	enk
Linley, W. (William)	1800.0	Forbidden apartments : a tale	enk
Trollope, Frances Milton	1800.0	The attractive man : a novel	enk
	1800.0	Tales, anecdotes, and letters	enk
Du Bois, Edward	1800.0	St. Godwin: a tale of the sixteenth, seventeenth, and eighteenth century	enk
	1800.0	The Governess, or, Evening amusements at a boarding school	enk
Kendall, Edward Augustus	1800.0	The stories of Senex, or, Little histories of little people	enk
marquise de, Lambert, Anne Thérèse de Marguenat de Courcelles	1800.0	A mother's advice to her son and daughter	enk
	1800.0	Tales of the arbor; or, Evening rewards for morning studies : comprising a collection of tales, interesting, familiar and moral	enk
Smith, Thomas	1800.0	The shepherd's son, or, The wish accomplished : a moral tale. Interspersed with poetical effusions, designed for the improvement of youth	enk
Surr, T. S. (Thomas Skinner)	1801.0	Splendid misery. A novel	enk
Doubtful, David, pseud	1801.0	The reprobate, or, Voyages and singular adventures of David Doubtful	enk
Goldsmith, Oliver	1801.0	The miscellaneous works of Oliver Goldsmith	enk
Swift, Jonathan	1801.0	The works of the Rev. Jonathan Swift	enk
Swift, Jonathan	1801.0	Gulliver's travels	enk
Price, Uvedale	1801.0	A dialogue on the distinct characters of the picturesque and the beautiful	enk
	1801.0	Tuti-namah. The Tooti nameh, or Tales of a parrot	enk
More, Hannah	1801.0	The works of Hannah More ... including several pieces never before published	enk
Edgeworth, Maria	1801.0	Castle Rackrent; an Hibernian tale. Taken from facts, and from the manners of the Irish squires, before the year 1782	enk
Disraeli, Isaac	1801.0	Romances	enk
Summersett, Henry	1801.0	Martyn of Fenrose; or, The wizard and the sword. A romance	enk
	1801.0	Louisa, a narrative of facts : supposed to throw light on the mysterious history of 'The lady of the hay-stack'	enk
Damer, Anne Seymour Conway	1801.0	Belmour	enk
Moore, George	1801.0	Grasville Abbey	enk
Acton, Eugenia de	1801.0	The microcosm	enk
Du Bois, Edward	1801.0	Old Nick;	enk
Helme, Elizabeth	1801.0	St. Margaret's cave	enk
marquise de, Sévigné, Marie de Rabutin-Chantal	1801.0	Letters from the Marchioness de Sévigné to her daughter the Countess de Grignan	enk
M. Ducray-Duminil, (François Guillaume)	1801.0	The little mountaineers of Auvergne, or, The adventures of James and Georgette	enk
Dallas, Robert Charles	1801.0	Percival : or, Nature vindicted : a novel	enk
Williams, Helen Maria	1801.0	Sketches of the state of manners and opinions in the French republic, towards the close of the eighteenth century.  In a series of letters	enk
	1801.0	The Bakhtyar nameh; or, Story of Prince Bakhtyar and the ten viziers;	enk
	1801.0	Tūtī-namāh. The Tooti nameh, or Tales of a parrot: in the Persian language, with and English translation	enk
Meeke, Mary	1801.0	Which is the man?	enk
Sickelmore, Richard	1801.0	Raymond : a novel	enk
Pérez de Hita, Ginés	1801.0	Las guerras civiles; or, The civil wars of Granada, and the history of the factions of the Zegries and Abencerrages, two noble families of that city, to the final conquest by Ferdinand and Isabella;	enk
Josse, Auguste-Louis	1801.0	Juvenile biography; or, lives of celebrated children : Inculcating virtue by eminent examples from real life. To which are added moral reflections, addressed to the youth of both sexes	enk
Kendall, Edward Augustus	1801.0	Lessons of virtue, or, The book of happiness : intended for youth	enk
	1801.0	The moral legacy; or, Simple narratives	enk
Porter, Jane	1801.0	The two princes of Persia : addressed to youth	enk
	1801.0	Sketches from nature : intended for the use of young persons	enk
Smyth, Thomas	1801.0	Lucinda, or, Virtue triumphant : a moral tale	enk
Semple, Elizabeth	1801.0	Summer rambles, or, Conversations, instructive and entertaining : for the use of children : dedicated (by permission) to Her Royal Highness The Princess Charlotte of Wales	enk
Lucas, Charles	1802.0	The infernal Quixote. A tale of the day	enk
	1802.0	Welsh legends	enk
	1802.0	Monkish mysteries; or, The miraculous escape: containing the history and the villanies of the monk Bertrand; the detection of his impious frauds, and subsequent repentance and retribution	enk
	1802.0	The orphans of Llangloed. A modern tale	enk
Mercier, Louis-Sébastien	1802.0	Memoirs of the year two thousand five hundred	enk
Cullen, Margaret	1802.0	Home	enk
Cullen, Margaret	1802.0	Home. A novel	enk
West	1802.0	The infidel father	enk
Melville, Theodore	1802.0	The white knight, or, The monastery of Morne	enk
Parnell, William	1802.0	Julietta; or, The triumph of mental acquirements over personal defects	enk
	1802.0	Arabian Night's entertainments, consisting of one thousand and one stories, told by the sultaness of the Indies	stk
	1802.0	The Arabian nights	enk
	1802.0	The castle of Caithness. A romance of the thirteenth century	enk
M'Arthur, Joseph D	1803.0	The Northumbrian chieftain, or, Spectre of the abbey. A legendary tale. <collected from an ancient manuscript.>	enk
Day, Thomas	1803.0	The history of Sandford and Merton	enk
Sterne, Laurence	1803.0	The works of Laurence Sterne ... With a life of the author, written by himself	stk
	1803.0	Barbara Markham; or, The profligate requited;	enk
	1803.0	Letters of Miss Riversdale	enk
Montjoye	1803.0	D'Aveyro;	enk
Corry, John	1803.0	The history of Henry Thomson, or The reward of filial affection	enk
Montagu, Mary Wortley, Lady	1803.0	The works of the Right Honourable Lady Mary Wortley Montagu	enk
Karamzin, Nikolaĭ Mikhaĭlovich	1803.0	Russian tales	enk
Karamzin, Nikolaĭ Mikhaĭlovich	1803.0	Travels from Moscow, through Prussia, Germany, Switzerland, France , and England	enk
Cuthbertson, Catherine	1803.0	Romance of the Pyrenees	enk
Walker, George	1803.0	Don Raphael	enk
Lyttleton, M	1803.0	La belle sauvage, or A progress through the beau-monde	enk
Lyttleton, M	1803.0	Peregrine, or, The fool of fortune	enk
Young, Mary Julia	1803.0	Right and wrong; or, The kinsmen of Naples	enk
	1803.0	Wonderful wives ; describing the loving, the masculine, the rural taste, the cleanly, the fearful, the sentimental, the miseries of affluence, and sentiments on dress	enk
	1803.0	Amadís de Gaul	enk
Du Bois, Edward	1803.0	Old Nick; a satirical story	enk
Swift, Jonathan	1803.0	The works of the Rev. Jonathan Swift, D.D., Dean of St. Patrick's, Dublin	enk
vicomte de, Ségur, Alexandre-Joseph-Pierre	1803.0	Women: their condition and influence in society	enk
Hays, Mary	1803.0	Female biography; or, memoirs of illustrious and celebrated women, of all ages and countries	enk
Cervantes Saavedra, Miguel de	1803.0	The adventures of the renowned Don Quixote de la Mancha	stk
Hunter, Rachel	1803.0	Letters from Mrs. Palmerstone to her daughter; inculcating morality by entertaining narratives	enk
Kilner, Dorothy	1803.0	The rational brutes, or, Talking animals	enk
Sanders, Charlotte	1803.0	Holidays at home : written for the amusement of young persons	enk
Pérez de Hita, Ginés	1803.0	The civil wars of Granada;	enk
Morgan	1803.0	St. Clair, or, The heiress of Desmond	enk
Earl of Chatham, Pitt, William	1804.0	Letters written by the late Earl of Chatham to his nephew Thomas Pitt ... (afterwards Lord Camelford)	enk
	1804.0	The eve of San-Pietro	enk
Wieland, Christoph Martin	1804.0	Confessions in Elysium, or, The adventures of a Platonic philosopher; taken from the German of C. M. Wieland;	enk
Gordon, Loudoun Harcourt	1804.0	An apology for the conduct of the Gordons; containing the whole of their correspondence, conversation, &c. with Mrs. Lee: to which is annexed, An accurate account of their examination at Bow street, and their trial at Oxford	enk
Pitt, William	1804.0	Letters written by the late Earl of Chatham to his nephew, Thomas Pitt, esq	enk
	1804.0	The affecting history of Louisa	enk
Harley, George Davies	1804.0	Circumstances respecting the late Charles Montford, esq	enk
Whitfield, Henry	1804.0	A picture from life: or, The history of Emma Tankerville and Sir Henry Moreton	enk
	1804.0	Temple of the fairies. The yellow dwarf. Minet. The little white mouse. Innocence rewarded. The white doe in the wood. The royal enchanter. The good woman. The young shepherd	enk
	1804.0	Bellina. Continuation of The young shepherd. The Princess Camion. Artless love. Invincible fortitude. Conclusion of the Temple of the fairies	enk
Dallas, Robert Charles	1804.0	Aubrey : a novel	enk
	1804.0	The extraordinary confession, life, and singular adventures of Wolfe : who was thirty years a notorious robber, murderer, and captain of a gang of fifty-three thieves. To which is added The wandering fugitive, or, The surprising escapes of Frederic Winson, an assassin	enk
Bisset, Robert	1804.0	Modern literature;	enk
Edgeworth, Maria	1804.0	Popular tales	enk
Pigott, Harriet	1804.0	The pride of ancestry: or, Who is she?	enk
Le Noir, Elizabeth Anne	1804.0	Village anecdotes; or, The journal of a year, from Sophia to Edward	enk
Siddons, Henry	1804.0	Virtuous poverty	enk
Gooch, Elizabeth Sarah Villa-Real	1804.0	Sherwood forest; or, Northern adventures; a novel	enk
Semple, Elizabeth	1804.0	Gertrude, Agnes and Melite, and Amelia Douglas: tales, for the instruction and amusement of young persons	enk
Hurry, Margaret Ives Mitchell	1804.0	The faithful contrast : or, Virtue and vice accurately delineated, in a series of moral and instuctive tales	enk
Plumptre, Anabella	1804.0	Stories for children, intended to be read or recited to them in early periods of infancy. Being the first part of a series of amusement and instruction adapted to the progressive stages of early life	enk
	1804.0	The Tame goldfinch,or The unfortunate neglect	enk
Helme, Elizabeth	1805.0	The pilgrim of the cross : or, The chronicles of Christabelle de Mowbray : an ancient legend	enk
Daubenton, Mme (Marguerite)	1805.0	Zelia in the desert; or, The female Crusoe	enk
Holcroft, Thomas	1805.0	Memoirs of Bryan Perdue; a novel	enk
Zschokke, Heinrich	1805.0	The bravo of Venice, a romance:	enk
Opie, Amelia Alderson	1805.0	Adeline Mowbray	enk
Disraeli, Isaac	1805.0	Flim-flams! : or, The life and errors of my uncle, and the amours of my aunt!	enk
Zschokke, Heinrich	1805.0	The Bravo of Venice;	enk
Semple, Robert	1805.0	Walks and sketches at the Cape of Good Hope to which is subjoined  a journey from Cape Town to Blettenberg's Bay	enk
Ellis, George	1805.0	Romances of Oriental origin: The seven wise	enk
Lucas, William	1805.0	The duellists; or, Men of honour: a story; calculated to shew the folly, extravagance, and sin of duelling	enk
Mme de Grafigny, (Françoise d'Issembourg d'Happoncourt)	1805.0	Peruvian letters, including the letters of Aza	enk
	1805.0	Two pilgrims; a romance	enk
Gessner, Salomon	1805.0	The works of Solomon Gessner; translated from the German. With notes, critical and explanatory, to which is prefixed, a copious memoir of the life of the author	enk
Johnson, Samuel	1805.0	Rasselas	enk
Perry, William	1805.0	A dialogue in the shades : recommended to every purchaser of Dr. Kinglake's dissertation, &c., as an appropriate tailpiece for embellishment and illustration	enk
Ireland, W. H. (William Henry)	1805.0	Effusions of love from Chatelar to Mary, queen of Scotland	enk
Melmoth, Sydney	1805.0	Beauties of English prose	enk
	1805.0	Fables of Aesop and others	enk
Charlton, Mary	1805.0	The homicide	enk
Edgeworth, Maria	1805.0	The modern Griselda	enk
Porter, Jane	1805.0	Thaddeus of Warsaw	enk
	1805.0	The affecting history of Caroline;	enk
Surr, T. S	1806.0	A winter in London;	enk
Surr, T. S. (Thomas Skinner)	1806.0	A winter in London; or, Sketches of fashion : a novel	enk
Opie, Amelia Alderson	1806.0	The black velvet pelisse.  The death-bed.  The fashionable wife and the unfashionable husband.  The robber	enk
Opie, Amelia Alderson	1806.0	The mother and son.  Love and duty	enk
Opie, Amelia Alderson	1806.0	The soldier's return.  The brother and sister.  The revenge	enk
Opie, Amelia Alderson	1806.0	The uncle and nephew.  Murder will out.  The orphan	enk
Fielding, Henry	1806.0	Miscellaneous: The fathers; or, The good-natured man, a comedy. The life of Jonathan Wild the Great. A journey from this world to the next, &c	enk
Fielding, Henry	1806.0	Joseph Andrews. Preface to David Simple, etc	enk
Fielding, Henry	1806.0	Tom Jones	enk
Fielding, Henry	1806.0	The first Olynthiac of Demosthenes. Remedy of affiction for the loss of our friends. Dialogue between Alexander the Great, and Diogenes the Cynic. Interlude between Jupiter, J	enk
Fielding, Henry	1806.0	The works of Henry Fielding; with an essay on his life and genius	enk
Dutens, L. (Louis)	1806.0	Memoirs of a traveller, now in retirement	enk
Edgeworth, Maria	1806.0	Leonora	enk
Campe, Joachim Heinrich	1806.0	The history of Robinson Crusoe, abridged, divided into lessons, in order to be read and translated by young beginners; with an explication of words and pharses [1] contained in every lesson	enk
