docid,oldauthor,author,authordate,inferreddate,latestcomp,datetype,startdate,enddate,imprint,imprintdate,contents,genres,subjects,geographics,locnum,oclc,place,recordid,instances,allcopiesofwork,copiesin25yrs,enumcron,volnum,title,parttitle,earlyedition,shorttitle,nonficprob,juvenileprob,first_name,estimated_gender,avg_sentence_count,var_sentence_count,avg_line_count,var_line_count,avg_tokens_per_page,var_tokens_per_page,cap_alpha_freq,genre_tag,lcc_category,full_title,stories_match,tales_match,sketches_match,narratives_match,fables_match,anecdotes_match,legends_match,yarns_match,episodes_match,chronicles_match,recollections_match,short stories_match,collection_match
nyp.33433082547625,,,,1826.0,1826.0,s,1826,    ,London;Printed for Hunt and Clarke;1826,1826,"v. 2. Hume, Lilly, Voltaire --",,"Hume, David|1711-1776|1602-1681|1694-1778|Lilly, William|Biography|Voltaire",,,21055656.0,enk,8637171,1,1.0,1.0,"v. 3 (Marmontel, pt. 1)",3.0,"Autobiography, a collection of the most instructive and amusing lives ever published / | $c: written by the parties themselves.",,True,"Autobiography, a collection of the most instructive and amusing lives ever published",0.7120390376373282,0.0126287366085825,,unknown,15.182584269662922,21.48070792829188,38.06043956043956,36.35348991667674,397.3379120879121,5527.707243992271,1.1,['unknown'],['unknown'],"autobiography, a collection of the most instructive and amusing lives ever published / | $c: written by the parties themselves.  autobiography, a collection of the most instructive and amusing lives ever published",False,False,False,False,False,False,False,False,False,False,False,False,True
hvd.hxcsht,"Colman, George","Colman, George",1762-1836.,1826.0,1826.0,s,1826,    ,London;J. Williams;1826.,1826,,,Anecdotes,,,7961244.0,enk,9723212,1,1.0,1.0,,,"The circle of anecdote and wit : | a choice collection of pieces of humour, including many never before printed / | $c: collected by C. [!] Colman, esq.",,True,"The circle of anecdote and wit : a choice collection of pieces of humour, including many never before printed",0.8064057595202383,0.2432562138493286,George,m,12.184415584415584,20.228328554562324,36.056994818652846,18.39571532121668,340.1839378238342,2529.3573585868075,2.8,['fiction'],['unknown'],"the circle of anecdote and wit : | a choice collection of pieces of humour, including many never before printed / | $c: collected by c. [!] colman, esq.  the circle of anecdote and wit : a choice collection of pieces of humour, including many never before printed",False,False,False,False,False,False,False,False,False,False,False,False,True
nyp.33433082514849,"Thoms, William John","Thoms, William John","1803-1885,",1828.0,1828.0,s,1828,    ,London;W. Pickering;1828.,1828,"I. Robert, the deuyll. Thomas a Reading. Frier Bacon. Frier Rush.--II. Virgilius. Robin Hood. George a Green. Tom a Lincolne.--III. Helyas. Doctor Faustus. Second report of Doctor Faustus.",,"Early modern, 1500-1700|English literature|Music|Romances, English|Faust|d. ca. 1540",,PR2115.T5 1828,958150.0,enk,6147829,1,1.0,1.0,v. 1,1.0,A collection of early prose romances / | $c: Edited by William J. Thoms.,"Robert, the deuyll. Thomas a Reading. Frier Bacon. Frier Rush",True,"Robert, the deuyll. Thomas a Reading. Frier Bacon. Frier Rush",0.9052342271569777,0.9964582902868624,William,m,7.389438943894389,11.234475922839808,26.75974025974026,30.73448304941812,287.5584415584416,5726.006324843987,2.1,['unknown'],['english literature'],"a collection of early prose romances / | $c: edited by william j. thoms. robert, the deuyll. thomas a reading. frier bacon. frier rush robert, the deuyll. thomas a reading. frier bacon. frier rush",False,False,False,False,False,False,False,False,False,False,False,False,True
hvd.hwrbyg,"Kilner, Dorothy","Kilner, Dorothy",1755-1836.,1831.0,1831.0,s,1831,    ,London;Printed for John Harris;1831.,1831,New ed.,,,,,17545168.0,enk,9724755,1,1.0,1.0,,,"The village school : | a collection of entertaining histories, for the instruction and amusement of all good children.",,True,"The village school : a collection of entertaining histories, for the instruction and amusement of all good children",0.427879180803916,0.9999997226678566,Dorothy,f,11.176470588235292,13.20415224913495,34.59550561797753,42.80267642974373,384.5505617977528,8076.000252493372,2.2,['unknown'],['unknown'],"the village school : | a collection of entertaining histories, for the instruction and amusement of all good children.  the village school : a collection of entertaining histories, for the instruction and amusement of all good children",False,False,False,False,False,False,False,False,False,False,False,False,True
hvd.hxcp4u,"Shipp, John","Shipp, John",1784-1834.,1832.0,1832.0,s,1832,    ,London;printed for Longman & Co. etc. etc.;1832.,1832,,,,,,48155397.0,enk,9721878,1,1.0,1.0,,,"The k'haunie kineh-walla, or Eastern story-teller; | a collection of Indian tales.",,True,"The k'haunie kineh-walla, or Eastern story-teller; a collection of Indian tales",0.2568650926239741,0.0641747430895308,John,m,6.343253968253968,6.106383062484254,28.516569200779728,35.302357040532904,252.57504873294343,2351.059182502498,1.7,['unknown'],['unknown'],"the k'haunie kineh-walla, or eastern story-teller; | a collection of indian tales.  the k'haunie kineh-walla, or eastern story-teller; a collection of indian tales",False,True,False,False,False,False,False,False,False,False,False,False,True
mdp.39015058691042,,,,1836.0,1836.0,s,1836,    ,"London;Hurst, Chance & co.;New York;Republished by C. P. Fessenden;1836.",1836,,,,,,25127126.0,enk,200678,1,1.0,1.0,,,The cabinet: | a collection of romantic tales; embracing the spirit of the English magazines ...,,True,The cabinet: a collection of romantic tales; embracing the spirit of the English magazines,0.1618352943166886,0.134064049577859,,unknown,19.65373134328358,29.61741145021163,44.66176470588236,37.81206747404845,551.3,8575.021764705882,2.5,['unknown'],['unknown'],the cabinet: | a collection of romantic tales; embracing the spirit of the english magazines ...  the cabinet: a collection of romantic tales; embracing the spirit of the english magazines,False,True,False,False,False,False,False,False,False,False,False,False,True
mdp.39015016735337,,,,1837.0,1837.0,s,1837,    ,London;O. Hodgson;1837.,1837,,,,,,65689479.0,enk,1901271,1,1.0,1.0,,,"The Library of romance; | a collection of traditions, poetical legends, and short standard tales and romances, of all nations.",,True,"The Library of romance; a collection of traditions, poetical legends, and short standard tales and romances, of all nations",0.1818833736794904,0.0257375396258766,,unknown,14.133182844243793,42.22831199139869,33.27865168539326,12.00325211463199,367.9438202247191,3362.3092033834114,2.6,['unknown'],['unknown'],"the library of romance; | a collection of traditions, poetical legends, and short standard tales and romances, of all nations.  the library of romance; a collection of traditions, poetical legends, and short standard tales and romances, of all nations",False,True,False,False,False,False,True,False,False,False,False,False,True
wu.89101410165,,,,1840.0,1840.0,s,1840,    ,"London;Scott, Webster, and Geary;1840.",1840,,,Anecdotes|English wit and humor,,,42651530.0,enk,9392190,1,1.0,1.0,,,"Joe Miller's complete jest book: | being a collection of the most excellent bon mots, brilliant jests, and striking anecdotes in the English language.",,True,"Joe Miller's complete jest book: being a collection of the most excellent bon mots, brilliant jests, and striking anecdotes in the English language",0.758999519105657,0.5962172748836312,,unknown,14.58627450980392,15.50922337562476,37.69126213592233,22.737690640022635,404.4970873786408,4218.960671128288,1.4,['unknown'],['unknown'],"joe miller's complete jest book: | being a collection of the most excellent bon mots, brilliant jests, and striking anecdotes in the english language.  joe miller's complete jest book: being a collection of the most excellent bon mots, brilliant jests, and striking anecdotes in the english language",False,False,False,False,False,True,False,False,False,False,False,False,True
wu.89104409677,,,,1843.0,1843.0,s,1843,    ,London;Tegg;1843?,1843,,,Literature|Collections,,,14091021.0,enk,8993985,1,1.0,1.0,,,"The story-teller; or, Table-book of popular literature.: | A collection of romances, short standard tales, traditions, and poetical legends of all nations; embracing the choicest productions, and forming a cheap and comprehensive library of minor fiction. With incidental notes, critical and illustrative.",,True,"The story-teller; or, Table-book of popular literature.: A collection of romances, short standard tales, traditions, and poetical legends of all nations; embracing the choicest productions, and forming a cheap and comprehensive library of minor fiction. With incidental notes, critical and illustrative",0.3141522378445039,0.0141468026201826,,unknown,43.32451923076923,192.6663218842456,123.6873508353222,287.4798161322845,1195.0095465393797,37287.86148404259,2.2,['unknown'],['unknown'],"the story-teller; or, table-book of popular literature.: | a collection of romances, short standard tales, traditions, and poetical legends of all nations; embracing the choicest productions, and forming a cheap and comprehensive library of minor fiction. with incidental notes, critical and illustrative.  the story-teller; or, table-book of popular literature.: a collection of romances, short standard tales, traditions, and poetical legends of all nations; embracing the choicest productions, and forming a cheap and comprehensive library of minor fiction. with incidental notes, critical and illustrative",False,True,False,False,False,False,True,False,False,False,False,False,True
uc2.ark+=13960=t3bz65w87,"Hyams, Helen","Hyams, Helen",,1844.0,1844.0,s,1844,    ,London;Whittacker;1844.,1844,,,,,,12823401.0,enk,7689284,1,1.0,1.0,,,The candidate for favour: a miscellaneous collection of original poetry and prose,,True,The candidate for favour: a miscellaneous collection of original poetry and prose,0.0443163754918165,0.0167601674755166,Helen,f,9.011363636363637,16.07941632231405,27.64179104477612,42.2522833593228,213.81716417910448,4628.918063599911,2.7,['unknown'],['unknown'],the candidate for favour: a miscellaneous collection of original poetry and prose  the candidate for favour: a miscellaneous collection of original poetry and prose,False,False,False,False,False,False,False,False,False,False,False,False,True
njp.32101067176055,"Mrs. Sherwood, (Mary Martha)","Sherwood, (Mary Martha), 1775-1851, Mrs",1775-1851.,1854.0,1851.0,s,1854,    ,London;Hatchard;1854.,1854,20th ed.,,,,,42634802.0,enk,8956246,1,1.0,1.0,,,"The history of the Fairchild family; or, The child's manual: | being a collection of stories calculated to show the importance and effects of a religious education ...",,True,"The history of the Fairchild family; or, The child's manual: being a collection of stories calculated to show the importance and effects of a religious education",0.5385475995499722,0.9397001684187288,Mary,f,14.344370860927151,28.20591202140257,36.79934210526316,28.27223640927978,384.0625,5422.887541118421,2.5,['unknown'],['unknown'],"the history of the fairchild family; or, the child's manual: | being a collection of stories calculated to show the importance and effects of a religious education ...  the history of the fairchild family; or, the child's manual: being a collection of stories calculated to show the importance and effects of a religious education",True,False,False,False,False,False,False,False,False,False,False,False,True
nnc1.0046234080,,,,1859.0,1859.0,s,1859,    ,London;Printed by T. Richards;1859.,1859,,,,,,16217742.0,enk,8400452,1,1.0,1.0,,,"The Tincker of Turvey, or, Canterbury tales : | an early collection of English novels / | $c: edited by James O. Halliwell.",,True,"The Tincker of Turvey, or, Canterbury tales : an early collection of English novels",0.6962590311983012,0.86406661493869,,unknown,8.525862068965518,18.23208977407848,26.427350427350422,23.560961355833143,278.05128205128204,5561.672583826432,2.5,['unknown'],['unknown'],"the tincker of turvey, or, canterbury tales : | an early collection of english novels / | $c: edited by james o. halliwell.  the tincker of turvey, or, canterbury tales : an early collection of english novels",False,True,False,False,False,False,False,False,False,False,False,False,True
nyp.33433075786230,"Blackburne, E. Owens","Blackburne, E. Owens",b. 1848.,1879.0,1879.0,|,1879,    ,London;Newman;1879.,1879,,,,,,43433382.0,enk,8698482,1,1.0,1.0,,,"A bunch of shamrocks; | being a collection of Irish tales and sketches, | $c: by E. Owens Blackburne [pseud.] ...",,True,A bunch of shamrocks; being a collection of Irish tales and sketches,0.2752104655066284,0.000482904996306,E,unknown,9.883870967741936,12.244578563995836,22.726114649681527,17.29441356647328,215.3789808917197,2693.738539088806,2.4,['unknown'],['unknown'],"a bunch of shamrocks; | being a collection of irish tales and sketches, | $c: by e. owens blackburne [pseud.] ...  a bunch of shamrocks; being a collection of irish tales and sketches",False,True,True,False,False,False,False,False,False,False,False,False,True
uc1.b4395390,"Thorpe, Benjamin","Thorpe, Benjamin",1782-1870.,1880.0,1870.0,s,1880,    ,London;G. Bell and sons;1880.,1880,,,Folklore|Germanic peoples|Christmas|Germany|Scandinavia,,GR139.T4 1880,8895671.0,enk,1286935,2,3.0,2.0,,,"Yule-tide stories. | A collection of Scandinavian and north German popular tales and traditions, from the Swedish, Danish, and German.",,True,"Yule-tide stories. A collection of Scandinavian and north German popular tales and traditions, from the Swedish, Danish, and German",0.4801230573382569,0.9394111732600056,Benjamin,m,23.11355311355312,320.74534744864417,41.97096188747732,157.64343990961822,486.0399274047187,9448.916736110885,2.3,['unknown'],['unknown'],"yule-tide stories. | a collection of scandinavian and north german popular tales and traditions, from the swedish, danish, and german.  yule-tide stories. a collection of scandinavian and north german popular tales and traditions, from the swedish, danish, and german",True,True,False,False,False,False,False,False,False,False,False,False,True
inu.30000042783591,,,,1887.0,1887.0,s,1887,    ,London;G. Redway;1887?,1887,,,"Ghost stories, English",,,3302677.0,enk,6056230,1,1.0,1.0,v.3,3.0,"Dreamland and ghostland : | an original collection of tales and warnings from the borderland of substance and shadow : embracing remarkable dreams, presentiments, and coincidences, records of singular personal experience by various writers, startling stories from individual and family history, mysterious incidents from the lips of living narrators, and some psychological studies, grave and gay.",,True,"Dreamland and ghostland : an original collection of tales and warnings from the borderland of substance and shadow : embracing remarkable dreams, presentiments, and coincidences, records of singular personal experience by various writers, startling stories from individual and family history, mysterious incidents from the lips of living narrators, and some psychological studies, grave and gay",0.0907159436581761,0.0197827648460544,,unknown,12.305732484076431,24.804616820154976,26.07232704402516,26.922441754677426,262.10377358490564,3915.0489794707487,2.9,['unknown'],['unknown'],"dreamland and ghostland : | an original collection of tales and warnings from the borderland of substance and shadow : embracing remarkable dreams, presentiments, and coincidences, records of singular personal experience by various writers, startling stories from individual and family history, mysterious incidents from the lips of living narrators, and some psychological studies, grave and gay.  dreamland and ghostland : an original collection of tales and warnings from the borderland of substance and shadow : embracing remarkable dreams, presentiments, and coincidences, records of singular personal experience by various writers, startling stories from individual and family history, mysterious incidents from the lips of living narrators, and some psychological studies, grave and gay",True,True,False,False,False,False,False,False,False,False,False,False,True
uc2.ark+=13960=t0sq9519f,"Thackeray, William Makepeace","Thackeray, William Makepeace",1811-1863.,1887.0,1863.0, ,1887,    ,"London;Smith, Elder & Co.;1887.",1887,,,"Brookfield, William Henry|1809-1874",,,4433728.0,enk,7705827,1,5.0,5.0,,,"A collection of letters of Thackeray, 1847-1855",,True,"A collection of letters of Thackeray, 1847-1855",0.9111367914194832,0.0628678600761359,William,m,15.576923076923077,228.17677514792905,33.930131004366814,306.43179954615664,314.4192139737991,24532.619019469497,2.6,['unknown'],['unknown'],"a collection of letters of thackeray, 1847-1855  a collection of letters of thackeray, 1847-1855",False,False,False,False,False,False,False,False,False,False,False,False,True
mdp.39015008162862,"Grimm, Jacob","Grimm, Jacob",1785-1863.,1888.0,1863.0,s,1888,    ,London;G. Bell & sons;1888.,1888,,,,,,16388690.0,enk,1782238,1,1.0,1.0,,,"German popular stories and fairy tales, | $c: as told by Grammer Grethel. From the collection of MMM. Grimm. Rev. translation by Edgar Taylor. With illustrations from designs by George Cruikshank and Ludwig Grimm.",,True,German popular stories and fairy tales,0.2923319132950097,0.9866881205142504,Jacob,m,17.191304347826087,390.5836925015753,32.9367816091954,356.3580724005813,356.6465517241379,18152.561855925484,2.1,['unknown'],['unknown'],"german popular stories and fairy tales, | $c: as told by grammer grethel. from the collection of mmm. grimm. rev. translation by edgar taylor. with illustrations from designs by george cruikshank and ludwig grimm.  german popular stories and fairy tales",True,True,False,False,False,False,False,False,False,False,False,False,True
uc1.b3327261,"Yonge, Charlotte M. (Charlotte Mary)","Yonge, Charlotte M. (Charlotte Mary)",1823-1901.,1889.0,1889.0,s,1889,    ,London;New York;Macmillan;1889.,1889,"The boy bishop.--One will and three ways.--Kaspar's summer dream.--Buy a broom.--The travels of two kits.--Selma's secret sighs.--Our ghost at Fantford.--Anna's wedding cake.--Autobiography of Patty Applechecks.--A holiday engagement; or, The Campbells are coming.",,,,,2178418.0,enk,1776402,3,3.0,3.0,,,"Bye-words; | a collection of tales, new and old, | $c: by Charlotte M. Yonge ...",,True,"Bye-words; a collection of tales, new and old",0.0667864671319466,0.2703382172558413,Charlotte,f,11.898809523809524,34.18023667800453,24.89644970414201,33.7851353243934,245.57100591715977,5420.523064668604,2.5,['unknown'],['unknown'],"bye-words; | a collection of tales, new and old, | $c: by charlotte m. yonge ...  bye-words; a collection of tales, new and old",False,True,False,False,False,False,False,False,False,False,False,False,True
njp.32101049602863,,,,1889.0,1889.0,m,1889,1uuu,London|Royal Asiatic Society of Great Britain and Ireland|1889-,1889,,,History|Bahai faith,,,55762312.0,enk,8897527,1,1.0,1.0,vol.6,6.0,[Selections from the Bahai Collection of William McElwee Mitler].,,True,[Selections from the Bahai Collection of William McElwee Mitler],0.9723298601152632,0.0695577860264422,,unknown,12.515625,30.062255859375,33.74285714285714,109.2195918367347,387.2857142857143,15379.975510204084,1.4,['unknown'],['unknown'],[selections from the bahai collection of william mcelwee mitler].  [selections from the bahai collection of william mcelwee mitler],False,False,False,False,False,False,False,False,False,False,False,False,True
inu.39000005757880,"Hodgetts, Edith M. S","Hodgetts, Edith M. S",,1890.0,1890.0,s,1890,    ,"London [etc.;Griffith, Farran, Okeden & Welsh;1890.",1890,,,Folklore|Legends|Social life and customs|Tales|Russia,Russia,,5080049.0,enk,6936419,1,2.0,1.0,,,Tales and legends from the land of the tzar; | a collection of Russian stories tr. from the original Russian.,,True,Tales and legends from the land of the tzar; a collection of Russian stories tr. from the original Russian,0.2154755329338929,0.9647771248421444,Edith,f,13.876132930513595,21.53450589169504,29.47761194029851,39.49128981955892,295.23880597014926,5159.178792604143,2.5,['unknown'],['unknown'],tales and legends from the land of the tzar; | a collection of russian stories tr. from the original russian.  tales and legends from the land of the tzar; a collection of russian stories tr. from the original russian,True,True,False,False,False,False,True,False,False,False,False,False,True
