docid,oldauthor,author,authordate,inferreddate,latestcomp,datetype,startdate,enddate,imprint,imprintdate,contents,genres,subjects,geographics,locnum,oclc,place,recordid,instances,allcopiesofwork,copiesin25yrs,enumcron,volnum,title,parttitle,earlyedition,shorttitle,nonficprob,juvenileprob,first_name,estimated_gender,avg_sentence_count,var_sentence_count,avg_line_count,var_line_count,avg_tokens_per_page,var_tokens_per_page,cap_alpha_freq,genre_tag,lcc_category,full_title,stories_match,tales_match,sketches_match
uiuo.ark+=13960=t1vd7g69f,,,,1815.0,1815.0,s,1815,    ,"London;Longman, Hurst, Rees, Orme, and Brown;1815.",1815,,,,,,29079496.0,enk,8723277,2,2.0,2.0,v.1,1.0,Sketches of character,,True,Sketches of character,0.0337152168045565,0.0393684505498763,,unknown,7.822510822510822,13.115683739060366,31.78540772532189,41.696439426034736,203.5965665236052,2126.7041942198234,2.1,['unknown'],['unknown'],sketches of character  sketches of character,False,False,True
njp.32101067640787,,,,1815.0,1815.0,s,1815,    ,"London;Longman, Hurst, Rees, Orme, and Brown;1815.",1815,3d ed.,,,,,29079496.0,enk,8723277,2,2.0,2.0,v.3,3.0,"Sketches of character : | or, Specimens of real life : a novel.",,True,"Sketches of character : or, Specimens of real life : a novel",0.0,0.0,,unknown,6.422712933753943,8.780304311914737,24.58695652173913,19.733121793140697,200.80124223602485,2090.4636009413216,1.2,['unknown'],['unknown'],"sketches of character : | or, specimens of real life : a novel.  sketches of character : or, specimens of real life : a novel",False,False,True
hvd.hxg8rg,"McMullan, Mary Anne","McMullan, Mary Anne",,1816.0,1816.0,s,1816,    ,"London;Printed by W. Clowes ... for Messrs. Longman, Hurst, Rees, and Co.; T. Egerton ... and E. Lloyd ...;1816.",1816,,,,,,13320889.0,enk,9707843,1,1.0,1.0,,,"The wanderings of a goldfinch; or, Characteristic sketches in the nineteenth century.",,True,"The wanderings of a goldfinch; or, Characteristic sketches in the nineteenth century",0.0601062469152,0.1575266327168378,Mary,f,5.686980609418282,4.719193376355308,19.0137741046832,24.052151871836315,165.27272727272728,2315.3388429752067,1.8,['unknown'],['unknown'],"the wanderings of a goldfinch; or, characteristic sketches in the nineteenth century.  the wanderings of a goldfinch; or, characteristic sketches in the nineteenth century",False,False,True
uc1.$b275177,"M'Donogh, Felix","M'Donogh, Felix",1768?-1836.,1820.0,1820.0,s,1820,    ,London;Printed for H. Colburn;1820.,1820,,,,,,8698475.0,enk,6518503,1,1.0,1.0,v. 1,1.0,"The hermit in the country, or, Sketches of English manners",,True,"The hermit in the country, or, Sketches of English manners",0.3814551907899376,0.0026595100806951,Felix,m,5.803088803088803,9.39365841296343,18.36764705882353,55.835423875432525,152.02941176470588,4955.521193771627,1.1,['fiction'],['unknown'],"the hermit in the country, or, sketches of english manners  the hermit in the country, or, sketches of english manners",False,False,True
mdp.39015063616968,"Hook, Theodore Edward","Hook, Theodore Edward",1788-1841.,1824.0,1824.0,s,1824,    ,London;H.Colburn;1824.,1824,"v. 1. Danvers. The friend of the family.--v. 2. The friend of the family (concluded) Merton.--v. 3. Merton (concluded) Martha, the gypsy.",,,,PZ3.H7637S,1166754.0,enk,449115,2,2.0,2.0,v.1,1.0,Sayings and doings. | A series of sketches from life [First series].,Danvers. The friend of the family,True,Danvers. The friend of the family,0.1711418828059328,0.134346494488718,Theodore,m,5.599415204678363,9.099765739885775,25.33236994219653,14.66120652210231,217.14161849710985,1526.462603160814,1.6,['fiction'],['fiction and juvenile belles lettres'],sayings and doings. | a series of sketches from life [first series]. danvers. the friend of the family danvers. the friend of the family,False,False,True
njp.32101063581191,"Hook, Theodore Edward","Hook, Theodore Edward",1788-1841.,1824.0,1824.0,s,1824,    ,London;H.Colburn;1824.,1824,"v. 1. Danvers. The friend of the family.--v. 2. The friend of the family (concluded) Merton.--v. 3. Merton (concluded) Martha, the gypsy.",,,,PZ3.H7637S,1166754.0,enk,449115,2,2.0,2.0,v.2,2.0,Sayings and doings. | A series of sketches from life [First series].,The friend of the family (concluded) Merton,True,The friend of the family (concluded) Merton,0.0585373283037825,0.0040788505976687,Theodore,m,6.2905982905982905,8.314413032361749,25.34929577464789,19.7596826026582,221.18309859154928,1840.036897440984,1.4,['fiction'],['fiction and juvenile belles lettres'],sayings and doings. | a series of sketches from life [first series]. the friend of the family (concluded) merton the friend of the family (concluded) merton,False,False,True
nyp.33433074889829,"Drake, Nathan","Drake, Nathan",1766-1836.,1824.0,1824.0,s,1824,    ,London;T. Cadell;1824.,1824,,,"1564-1616|Shakespeare, William",,PR 4627 D4N6,5352048.0,enk,1018486,1,1.5,1.5,v. 1-2,1.0,"Noontide leisure, or, Sketches in summer : | outlines from nature and imagination, and including a tale of the days of Shakspeare / | $c: by Nathan Drake.",,True,"Noontide leisure, or, Sketches in summer : outlines from nature and imagination, and including a tale of the days of Shakspeare",0.0,0.0,Nathan,m,5.597774244833069,7.712618257460677,24.3484375,11.79265380859375,217.3515625,1603.4967163085937,1.6,['fiction'],['english literature'],"noontide leisure, or, sketches in summer : | outlines from nature and imagination, and including a tale of the days of shakspeare / | $c: by nathan drake.  noontide leisure, or, sketches in summer : outlines from nature and imagination, and including a tale of the days of shakspeare",False,False,True
mdp.39015008020441,"Mitford, Mary Russell","Mitford, Mary Russell",1787-1855.,1825.0,1825.0,s,1825,    ,London;G. B. Whittaker;1825.,1825,,,,,,10372978.0,enk,241672,1,3.0,3.0,,,Our village | sketches of rural character and scenery. | $c: By Mary Russell Mitford.,,True,Our village sketches of rural character and scenery,0.3238937838939922,0.050734508968212,Mary,f,8.871621621621621,9.848383856829804,25.37953795379537,27.35760110664532,267.8976897689769,3683.345968260192,1.3,['fiction'],['unknown'],our village | sketches of rural character and scenery. | $c: by mary russell mitford.  our village sketches of rural character and scenery,False,False,True
mdp.39015010961483,"Jewsbury, Maria Jane","Jewsbury, Maria Jane",1800-1833.,1825.0,1825.0,s,1825,    ,"London;Printed for Hurst, Robinson and co.; [etc., etc.;1825.",1825,,,,,PR4825.J75P4,11959944.0,enk,781492,1,1.0,1.0,v.1,1.0,"Phantasmagoria; | or, Sketches of life and literature ...",,True,"Phantasmagoria; or, Sketches of life and literature",0.2608780000547952,0.0209867954556173,Maria,f,7.95945945945946,12.383491599707815,24.287581699346404,43.923832713913455,220.718954248366,5756.476568841043,2.1,['fiction'],['english literature'],"phantasmagoria; | or, sketches of life and literature ...  phantasmagoria; or, sketches of life and literature",False,False,True
uiuo.ark+=13960=t8rb7bp20,Bray,Bray,,1826.0,1826.0,s,1826,    ,"London;Longman, Reese, Orme, Brown and Green;1826.",1826,,,,,PR4161.B57D4 1826,13313566.0,enk,8719236,2,2.0,2.0,v.1,1.0,"De Foix; or, Sketches of the manners and customs of the fourteenth century",,True,"De Foix; or, Sketches of the manners and customs of the fourteenth century",0.1241684926060552,0.036918611876026,Bray,unknown,7.9491525423728815,9.241482332663027,26.93645484949833,19.751814856657084,217.75585284280936,1790.592566078679,1.7,['unknown'],['english literature'],"de foix; or, sketches of the manners and customs of the fourteenth century  de foix; or, sketches of the manners and customs of the fourteenth century",False,False,True
njp.32101067629947,"Mrs. Bray, (Anna Eliza)","Bray, (Anna Eliza), Mrs",1790-1883.,1826.0,1826.0,s,1826,    ,"London;Longman, Reese, Orme, Brown and Green;1826.",1826,,,,,PR4161.B57D4 1826,13313566.0,enk,8719236,2,2.0,2.0,v.2,2.0,"De Foix; or, Sketches of the manners and customs of the fourteenth century. | An historical romance.",,True,"De Foix; or, Sketches of the manners and customs of the fourteenth century. An historical romance",0.0,0.0,Anna,f,6.858131487889273,7.547347373714395,23.273972602739725,13.90439106774254,216.1917808219178,1711.0591105273036,2.8,['unknown'],['english literature'],"de foix; or, sketches of the manners and customs of the fourteenth century. | an historical romance.  de foix; or, sketches of the manners and customs of the fourteenth century. an historical romance",False,False,True
nnc1.0114003821,"Gamble, John","Gamble, John",d. 1831.,1827.0,1827.0,s,1827,    ,"London;Printed for Baldwin, Cradock, and Joy;1827.",1827,,,,,,63960555.0,enk,8401426,1,1.0,1.0,v.1,1.0,"Charlton; | or, Scenes in Ireland. | $c: By the author of ""Irish sketches,"" &c. &c. ...",,True,"Charlton; or, Scenes in Ireland",0.0899323995484544,0.4333052244463347,John,m,6.507042253521127,6.524598293989287,22.66551724137931,17.03639714625446,192.3068965517241,1867.364435196195,1.4,['unknown'],['unknown'],"charlton; | or, scenes in ireland. | $c: by the author of ""irish sketches,"" &c. &c. ...  charlton; or, scenes in ireland",False,False,True
nyp.33433066646450,"Otway, Caesar","Otway, Caesar",1780-1842.,1827.0,1827.0,s,1827,    ,"Dublin;W. Curry, jun. and co.; [etc., etc.;1827.",1827,,,Description and travel,Ireland,DA975.O92,4396336.0,enk,8646405,1,1.0,1.0,,,"Sketches in Ireland: | descriptive of interesting, and hitherto unnoticed districts, in the north and south.",,True,"Sketches in Ireland: descriptive of interesting, and hitherto unnoticed districts, in the north and south",0.7751196685248625,0.0384446378448077,Caesar,unknown,5.466666666666667,27.410793650793654,23.8561320754717,13.491094473122104,216.87028301886792,2201.603456523674,1.1,['unknown'],['great britain'],"sketches in ireland: | descriptive of interesting, and hitherto unnoticed districts, in the north and south.  sketches in ireland: descriptive of interesting, and hitherto unnoticed districts, in the north and south",False,False,True
uc1.b3324270,Mr. Deale,Mr. Deale,,1828.0,1828.0,s,1828,    ,"London;C. Chapple, Royal Library;1828.",1828,,,,,,20312659.0,enk,6130870,1,1.0,1.0,v. 1,1.0,"Life in the West; | or, The curtain drawn, a novel. | $c: Dedicated, by permission, to the Right Hon. Robert Peel. Containing sketches, scenes, conversations, and anecdotes of the last importance to families, and men of rank, fashion, and fortune. Founded on facts, by a Flat Enlightened.",,True,"Life in the West; or, The curtain drawn, a novel",0.7106808881614979,0.1455974642801723,Mr,unknown,9.173501577287066,39.0519161301237,22.478125,14.012021484375,198.671875,2647.457958984375,2.0,['fiction'],['unknown'],"life in the west; | or, the curtain drawn, a novel. | $c: dedicated, by permission, to the right hon. robert peel. containing sketches, scenes, conversations, and anecdotes of the last importance to families, and men of rank, fashion, and fortune. founded on facts, by a flat enlightened.  life in the west; or, the curtain drawn, a novel",False,False,True
uc2.ark+=13960=t8ff3s588,"Hook, Theodore Edward","Hook, Theodore Edward",1788-1841.,1828.0,1828.0,s,1828,    ,London;Henry Colburn ...;1828.,1828,,,,,,9907300.0,enk,7689093,1,1.0,1.0,v.2,2.0,"Sayings and doings, or, Sketches from life",,True,"Sayings and doings, or, Sketches from life",0.1649525205737006,0.0137870057520384,Theodore,m,7.6763848396501455,15.390900050149172,31.319767441860463,23.589609248242294,228.24418604651163,1078.8008382909682,2.6,['fiction'],['unknown'],"sayings and doings, or, sketches from life  sayings and doings, or, sketches from life",False,False,True
nnc1.0036751260,,,,1828.0,1828.0,s,1828,    ,"London;Hurst, Chance;1828.",1828,,,"War of Independence, 1821-1829|History",Greece,,5653006.0,enk,8398052,1,1.0,1.0,v.1,1.0,Sketches of modern Greece : | illustrative of the leading events of the revolution / | $c: by a young English volunteer in the Greek service.,,True,Sketches of modern Greece : illustrative of the leading events of the revolution,0.1429819071005445,0.0530387671171729,,unknown,5.953883495145631,10.223601423319822,23.322115384615383,18.18470321745562,206.6033653846154,1599.604700212648,1.7,['unknown'],['unknown'],sketches of modern greece : | illustrative of the leading events of the revolution / | $c: by a young english volunteer in the greek service.  sketches of modern greece : illustrative of the leading events of the revolution,False,False,True
inu.32000006996674,"Malcolm, John","Malcolm, John, Sir",1769-1833.,1829.0,1829.0,s,1829,    ,"Edinburgh;Published by Oliver & Boyd, Tweeddale-court; and Simpkin & Marshall, London.;1829..",1829,,,"Army|Great Britain|Anecdotes|Military life|Malcolm, John",,,26339691.0,stk,7586213,1,1.0,1.0,,,"Tales of field and flood; : | with sketches of life at home. / | $c: By John Malcolm, ...",,True,Tales of field and flood; : with sketches of life at home,0.2810866068454569,0.002576803833736,John,m,5.456204379562044,5.1166950823165855,20.81118881118881,32.684630055259426,186.9020979020979,3186.934471123282,1.7,['unknown'],['unknown'],"tales of field and flood; : | with sketches of life at home. / | $c: by john malcolm, ...  tales of field and flood; : with sketches of life at home",False,True,True
nyp.33433074862727,"Mrs., Hall, S. C","Hall, S. C., Mrs",1800-1881.,1829.0,1829.0,s,1829,    ,London;F. Westley and A.H. Davis;1829.,1829,,,Irish fiction,,PZ3.H14 S,21219302.0,enk,8666251,1,6.0,5.0,v. 1,1.0,Sketches of Irish character / | $c: by Mrs. S.C. Hall.,,True,Sketches of Irish character,0.0634623337822079,0.0057398087447227,S,unknown,8.857142857142858,14.283163265306124,25.71551724137931,47.71217300832344,247.0086206896552,5375.861994649227,1.0,['fiction'],['fiction and juvenile belles lettres'],sketches of irish character / | $c: by mrs. s.c. hall.  sketches of irish character,False,False,True
njp.32101069186466,,,,1832.0,1832.0,s,1832,    ,London;T. & W. Boone;1832.,1832,,,,,,10929397.0,enk,9403934,1,1.0,1.0,v.1,1.0,"La coquetterie, or, Sketches of society in France and Belgium.",,True,"La coquetterie, or, Sketches of society in France and Belgium",0.0591498406496819,0.3783103147334771,,unknown,7.690196078431373,30.11970780469051,22.83783783783784,23.16289262235209,207.1814671814672,3885.407224102205,2.8,['fiction'],['unknown'],"la coquetterie, or, sketches of society in france and belgium.  la coquetterie, or, sketches of society in france and belgium",False,False,True
uc1.b3546903,"Mrs. Jameson, (Anna)","Jameson, (Anna), Mrs",1794-1860.,1834.0,1834.0,s,1834,    ,London;Saunders and Otley;1834.,1834,,,Italy|Germany|Art|Description and travel,Germany|Italy,,5531549.0,enk,6128971,1,1.0,1.0,v.3,3.0,"Visits and sketches at home and abroad; | with tales and miscellanies now first collected, and a new edition of the ""Diary of an ennuyee.""",,True,"Visits and sketches at home and abroad; with tales and miscellanies now first collected, and a new edition of the ""Diary of an ennuyee.""",0.7949995152434681,0.0064512636927476,Anna,f,7.936241610738255,11.401975136255125,22.6504854368932,35.24353536305653,203.4822006472492,3285.511819105372,1.3,['unknown'],['unknown'],"visits and sketches at home and abroad; | with tales and miscellanies now first collected, and a new edition of the ""diary of an ennuyee.""  visits and sketches at home and abroad; with tales and miscellanies now first collected, and a new edition of the ""diary of an ennuyee.""",False,True,True
uc1.b3322058,Mrs.] [Fitzatherley,"] [Fitzatherley, Mrs",,1834.0,1834.0,s,1834,    ,London;R. Bentley;1834.,1834,,,,,955 F549 o,43881920.0,enk,7915134,1,1.0,1.0,v. 1,1.0,"Our town; or, Rough sketches of character, manners, & c. | $c: By Peregrine Reedpen, [pseud.]",,True,"Our town; or, Rough sketches of character, manners, & c",0.3335051232027293,0.1046296686370856,Mrs,unknown,9.311572700296736,9.48452482631704,23.135693215339234,10.978637498803526,213.50442477876103,1372.8989479729555,2.1,['unknown'],['unknown'],"our town; or, rough sketches of character, manners, & c. | $c: by peregrine reedpen, [pseud.]  our town; or, rough sketches of character, manners, & c",False,False,True
nnc1.cu56764111,"Beckford, William","Beckford, William",1760-1844.,1834.0,1834.0,s,1834,    ,London;J. Robson;1834.,1834,New ed.,Humor,Painters|Anecdotes|Art,,,49246497.0,enk,8433451,1,3.0,3.0,,,Biographical memoirs of extraordinary painters: | exhibiting not only sketches of their principal works and professional characters; but a variety of romantic adventures and original anecdotes ...,,True,Biographical memoirs of extraordinary painters: exhibiting not only sketches of their principal works and professional characters; but a variety of romantic adventures and original anecdotes,0.7381139562979956,0.8166331714050591,William,m,5.490322580645161,3.591841831425598,19.57861635220126,17.19979431193386,142.39622641509433,1174.2266524267236,1.5,['fiction'],['unknown'],biographical memoirs of extraordinary painters: | exhibiting not only sketches of their principal works and professional characters; but a variety of romantic adventures and original anecdotes ...  biographical memoirs of extraordinary painters: exhibiting not only sketches of their principal works and professional characters; but a variety of romantic adventures and original anecdotes,False,False,True
uiuo.ark+=13960=t5v69r81k,"Chorley, Henry Fothergill","Chorley, Henry Fothergill",1808-1872.,1834.0,1834.0,s,1834,    ,London;R. Bentley;1834.,1834,,,English fiction,,,21096122.0,enk,8723282,1,2.0,2.0,v.1,1.0,Sketches of a sea port town,,True,Sketches of a sea port town,0.1452268479509344,0.0183408100865912,Henry,m,8.340116279069768,15.887227893455924,27.77011494252873,18.556348262650285,216.8534482758621,1877.8089823622668,1.7,['fiction'],['unknown'],sketches of a sea port town  sketches of a sea port town,False,False,True
njp.32101065704627,"Reedpen, Peregrine","Reedpen, Peregrine",,1834.0,1834.0,s,1834,    ,London;Bentley;1834.,1834,,,,,,777093700.0,enk,9247084,1,1.0,1.0,vol.1,1.0,"Our town : | or, rough sketches of character, manners, &c.",,True,"Our town : or, rough sketches of character, manners, &c",0.3458333556343421,0.0905603462119573,Peregrine,m,9.28613569321534,9.891577692501809,22.87209302325581,16.826663061114115,210.57558139534885,1924.8256828015144,1.4,['unknown'],['unknown'],"our town : | or, rough sketches of character, manners, &c.  our town : or, rough sketches of character, manners, &c",False,False,True
hvd.hwcl76,"Angelo, Henry","Angelo, Henry",1756-1835.,1834.0,1834.0,s,1834,    ,London;J. Ebers;1834.,1834,,,Table-talk,,PN6251.A5,1243906.0,enk,9717467,2,2.0,2.0,,,"Angelo's pic nic, or, Table talk : | including numerous recollections of public characters, who have figured in some part or another of the stage of life for the last fifty years : forming an endless variety of talent, amusement, and interest, calculated to please every person fond of biographical sketches and anecdotes / | $c: written by himself ; in addition to which are several original literary contributions from the following distinguished authors: Colman ... [et al.]",,True,"Angelo's pic nic, or, Table talk : including numerous recollections of public characters, who have figured in some part or another of the stage of life for the last fifty years : forming an endless variety of talent, amusement, and interest, calculated to please every person fond of biographical sketches and anecdotes",0.600536256947922,0.1444806612643091,Henry,m,8.521091811414392,15.113078708692251,23.926470588235293,9.587730680507496,229.8063725490196,1634.9208417435602,8.0,['unknown'],['literature (general)'],"angelo's pic nic, or, table talk : | including numerous recollections of public characters, who have figured in some part or another of the stage of life for the last fifty years : forming an endless variety of talent, amusement, and interest, calculated to please every person fond of biographical sketches and anecdotes / | $c: written by himself ; in addition to which are several original literary contributions from the following distinguished authors: colman ... [et al.]  angelo's pic nic, or, table talk : including numerous recollections of public characters, who have figured in some part or another of the stage of life for the last fifty years : forming an endless variety of talent, amusement, and interest, calculated to please every person fond of biographical sketches and anecdotes",False,False,True
mdp.39015048385663,"Nightingale, Thomas","Nightingale, Thomas",,1835.0,1835.0,s,1835,    ,London;J. Cochrane and co.;1835.,1835,,,Oceania|Botany|Description and travel,Oceania,,8526919.0,enk,1873072,1,1.0,1.0,,,"Oceanic sketches. | $c: By Thomas Nightingale, esq. With a botanical appendix, by Dr. Hooker, of Glasgow.",,True,Oceanic sketches,0.9478060622322376,0.217466030280558,Thomas,m,7.103448275862069,74.87895362663494,21.26315789473684,36.14127423822715,179.07894736842104,3734.49376731302,2.8,['unknown'],['unknown'],"oceanic sketches. | $c: by thomas nightingale, esq. with a botanical appendix, by dr. hooker, of glasgow.  oceanic sketches",False,False,True
uc2.ark+=13960=t32236575,Jameson,Jameson,,1835.0,1835.0,s,1835,    ,London;Saunders & Otley;1835.,1835,,,Germany|Description and travel,,,13079295.0,enk,7700118,1,1.0,1.0,v.03,3.0,Visits and sketches at home and abroad,,True,Visits and sketches at home and abroad,0.7413450123389883,0.0279674782615456,Jameson,m,7.797427652733119,19.02327312579481,22.406940063091483,18.54417896486182,173.6750788643533,2062.888117107345,1.4,['unknown'],['unknown'],visits and sketches at home and abroad  visits and sketches at home and abroad,False,False,True
