docid,oldauthor,author,authordate,inferreddate,latestcomp,datetype,startdate,enddate,imprint,imprintdate,contents,genres,subjects,geographics,locnum,oclc,place,recordid,instances,allcopiesofwork,copiesin25yrs,enumcron,volnum,title,parttitle,earlyedition,shorttitle,nonficprob,juvenileprob,first_name,estimated_gender,avg_sentence_count,var_sentence_count,avg_line_count,var_line_count,avg_tokens_per_page,var_tokens_per_page,cap_alpha_freq,genre_tag,lcc_category,full_title,stories_match
nyp.33433086948258,"Grimm, Jacob","Grimm, Jacob",1785-1863.,1823.0,1823.0,s,1823,    ,London;Published by C. Baldwyn;1823-26.,1823-1826,,,Fairy tales,,,3877257.0,enk,8682127,1,1.0,1.0,v. 1,1.0,"German popular stories : | translated from the Kinder und haus Marchen / | $c: collected by M. M. Grimm, from oral tradition.",,True,German popular stories : translated from the Kinder und haus Marchen,0.2740368821086794,0.9995762091643118,Jacob,m,9.696498054474707,11.985707580735516,23.9467680608365,28.506672064074948,238.20152091254752,3796.001214416863,2.1,['unknown'],['unknown'],"german popular stories : | translated from the kinder und haus marchen / | $c: collected by m. m. grimm, from oral tradition.  german popular stories : translated from the kinder und haus marchen",True
mdp.39015059901713,,,,1827.0,1827.0,s,1827,    ,"London;Longmans, Rees, Orme, Brown and Green;1827.",1827,Jacques de Wilton.--The knight of the plumeless helm.--Edmund Esterling.--The enchanted shield.--The devil's gorge.--The traitor's grave.,,Chivalry,,,14289553.0,enk,159687,1,1.0,1.0,,,Stories of chivalry and romance ...,,True,Stories of chivalry and romance,0.1241735717661912,0.1118970606772596,,unknown,5.430769230769231,4.668284023668639,21.01115241635688,27.059355177512742,186.68401486988847,2422.989372728404,1.7,['fiction'],['unknown'],stories of chivalry and romance ...  stories of chivalry and romance,True
uc2.ark+=13960=t2f766t3r,"Berens, Edward","Berens, Edward",,1827.0,1827.0,s,1827,    ,Oxford;W. Baxter;1827.,1827,,,,,,2806480.0,enk,9260248,1,1.0,1.0,,,Christmas stories,,True,Christmas stories,0.4014040708860309,0.070592663416596,Edward,m,11.628205128205128,10.054076265614729,34.42944785276074,62.15913282396779,306.2699386503068,7953.865783431818,1.9,['fiction'],['unknown'],christmas stories  christmas stories,True
hvd.hwk11h,,,,1827.0,1827.0,s,1827,    ,Exeter;J. & B. Williams;1827.,1827,9th American from the 18th English ed./|translated from the Arabian mss.,,,,,1931501.0,enk,9717863,1,1.0,1.0,v.1,1.0,"The Arabian nights entertainments: | consisting of one thousand and one stories, told by the Sultaness of the Indies...Containing a familiar account of the customs, manners, and religion of the eastern nations.",,True,"The Arabian nights entertainments: consisting of one thousand and one stories, told by the Sultaness of the Indies...Containing a familiar account of the customs, manners, and religion of the eastern nations",0.2715305352723844,0.9221449090678524,,unknown,18.49248120300752,18.746184069195547,42.35636363636364,76.5202776859504,445.30545454545455,10340.670333884298,0.8,['fiction'],['unknown'],"the arabian nights entertainments: | consisting of one thousand and one stories, told by the sultaness of the indies...containing a familiar account of the customs, manners, and religion of the eastern nations.  the arabian nights entertainments: consisting of one thousand and one stories, told by the sultaness of the indies...containing a familiar account of the customs, manners, and religion of the eastern nations",True
uiuo.ark+=13960=t06w9wj7b,"Maxwell, W. H","Maxwell, W. H. (William Hamilton)",1792-1850.,1829.0,1829.0,s,1829,    ,London;Henry Colburn and Richard Bentley;1829.,1829,,,"Waterloo, Battle of, Waterloo, Belgium, 1815",,,5119612.0,enk,7690539,2,3.0,3.0,v.1,1.0,Stories of waterloo,,True,Stories of waterloo,0.0929397954976686,0.002278817273373,William,m,9.13125,12.0015234375,25.41538461538461,16.310532544378702,195.74153846153845,1460.4747360946744,2.5,['unknown'],['unknown'],stories of waterloo  stories of waterloo,True
uiuo.ark+=13960=t98631g4k,Loudon,Loudon,,1829.0,1829.0,s,1829,    ,London;H. Colburn;1829.,1829,,,,,,13137826.0,enk,8723516,1,1.0,1.0,v.1,1.0,Stories of a bride;,,True,Stories of a bride;,0.0361649724334238,0.1255510875061458,Loudon,unknown,8.480519480519481,9.126243885984143,27.34726688102894,19.52570796414429,211.66237942122183,1580.0628612193834,1.7,['fiction'],['unknown'],stories of a bride;  stories of a bride;,True
nyp.33433081991675,"Mitford, Mary Russell","Mitford, Mary Russell","1787-1855,",1830.0,1830.0,s,1830,    ,London;H. Colburn and R. Bentley;1830.,1830,,,"Social life and customs|19th century|Short stories, American",,,2902221.0,enk,1907086,2,5.0,2.0,v. 1,1.0,Stories of American life; by American writers. | $c: Edited by Mary Russell Mitford.,,True,Stories of American life; by American writers,0.4391647043421539,0.016338058265141,Mary,f,9.317934782608695,13.93967834357278,27.20967741935484,21.41302462712452,264.5430107526882,2574.6406231934325,1.7,['fiction'],['fiction and juvenile belles lettres'],stories of american life; by american writers. | $c: edited by mary russell mitford.  stories of american life; by american writers,True
nyp.33433067296370,"More, Hannah","More, Hannah",1745-1833.,1830.0,1830.0,s,1830,    ,London;T. Cadell;1830.,1830,"A new ed., with additions and corrections.|I. Sacred dramas. Poems -- II. Poems. Tragedies -- III. Stories andtales -- IV. Stories and tales. Moral sketches -- V. Strictures on female education -- VI. Hints towards forming the character of a princess -- VII. Cœlebs in search of a wife -- VIII. Practical piety -- IX. Christian morals -- X. Essay on St. Paul -- XI. Essays. Spirit of prayer -- XII. Life / [by Henry Thompson]",,,,PR3605.M6 1830,5738516.0,enk,8618346,1,1.0,1.0,v. 3,3.0,The works of Hannah More in eleven volumes.,Stories andtales,True,Stories andtales,0.6119015777020319,0.21918405340121,Hannah,f,11.385321100917432,18.64785792441713,30.925318761384336,31.42429520804509,310.2841530054645,3734.673355430141,2.0,['unknown'],['english literature'],the works of hannah more in eleven volumes. stories andtales stories andtales,True
uiuo.ark+=13960=t7np2b533,"Arnold, Thomas","Arnold, Thomas",,1832.0,1832.0,s,1832,    ,London;H. Colburn and R. Bentley;1832.,1832,,,,,,13340740.0,enk,8719380,1,1.0,1.0,v.1,1.0,Dramatic stories,,True,Dramatic stories,0.0257105145192701,0.0966730897168917,Thomas,m,7.865384615384615,39.648545364891525,28.094637223974765,27.27180089363015,217.2586750788644,1938.7658947745524,1.6,['unknown'],['unknown'],dramatic stories  dramatic stories,True
uc1.b3322689,"Galt, John","Galt, John",1779-1839.,1833.0,1833.0,s,1833,    ,London;Cochrane and McCrone;1833.,1833,,,,,,12260790.0,enk,7915355,2,2.0,2.0,v.1,1.0,"Stories of the study, | $c: by John Galt.",,True,Stories of the study,0.0534887760018618,0.0135179866290246,John,m,5.437106918238993,3.9127111269332704,20.1692789968652,20.87416593783473,170.10971786833855,1633.1321626163265,2.1,['fiction'],['unknown'],"stories of the study, | $c: by john galt.  stories of the study",True
nyp.33433075766943,"Picken, Andrew","Picken, Andrew",1788-1833.,1833.0,1833.0,s,1833,    ,"London;Longman, Rees, Orme, Brown, Green, & Longman;1833.",1833,"v. 1 The Forbeses and the Gordons -- Lady Barbara of Carloghie and the Johnstons of Fairly -- The three maids of Louden or, the Kennedies of Marslie and the Norman cousins -- v. 2. The Hays and the fight of Loncarty -- The Priors of Lawford -- MacDonald of Glenco and Jeanie Halliday of Annan.",,Genealogy,Scotland,,761346.0,enk,8666234,1,2.0,2.0,,,"Traditionary stories of old families, and legendary illustrations of family history with notes, historical and biographical / | $c: by Andrew Picken.",,True,"Traditionary stories of old families, and legendary illustrations of family history with notes, historical and biographical",0.1371136648247654,0.0087624998623161,Andrew,m,5.970674486803519,7.125239721020632,23.433908045977013,23.8145973708548,216.27298850574712,3333.083523252741,1.5,['unknown'],['unknown'],"traditionary stories of old families, and legendary illustrations of family history with notes, historical and biographical / | $c: by andrew picken.  traditionary stories of old families, and legendary illustrations of family history with notes, historical and biographical",True
njp.32101065836353,"Maxwell, W. H. (William Hamilton)","Maxwell, W. H. (William Hamilton)",1792-1850.,1834.0,1834.0,s,1834,    ,"London;Smith, Elder;1834.",1834,,,,,,21467686.0,enk,9246265,1,2.0,2.0,,,"The dark lady of Doona / | $c: by the author of ""Stories of Waterloo,"" ""Wild sports of the West,"" etc. etc.",,True,The dark lady of Doona,0.137219211285117,0.026097852829176,William,m,11.221153846153848,15.063270463510849,31.376996805111823,42.50963059743388,299.05750798722045,5000.795414876134,2.1,['fiction'],['unknown'],"the dark lady of doona / | $c: by the author of ""stories of waterloo,"" ""wild sports of the west,"" etc. etc.  the dark lady of doona",True
nyp.33433074878475,"Mrs., Lee, R","Lee, R., Mrs",1791-1856.,1835.0,1835.0,s,1835,    ,London;E. Moxon;1835.,1835,,,,,PZ3.L515S,5655558.0,enk,8665527,1,1.0,1.0,,,"Stories of strange lands; | and fragments from the notes of a traveller. | $c: By Mrs. R. Lee, (formerly Mrs. T. Edward Bowdich.)",,True,Stories of strange lands; and fragments from the notes of a traveller,0.6965705493342893,0.6639680138923304,R,unknown,8.81578947368421,6.797645429362881,27.640102827763496,41.45916297143159,305.1850899742931,6608.623839387792,1.4,['fiction'],['fiction and juvenile belles lettres'],"stories of strange lands; | and fragments from the notes of a traveller. | $c: by mrs. r. lee, (formerly mrs. t. edward bowdich.)  stories of strange lands; and fragments from the notes of a traveller",True
nyp.33433074880315,"Marryat, Frederick","Marryat, Frederick",1792-1848.,1836.0,1836.0,s,1836,    ,"London;Longmans, Rees, Orme, Brown, Green, and Longman;Philadelphia;Desilver, Thomas, and co.;1836.",1836,,,,,PZ3.M349N,4647688.0,enk,8666044,1,1.0,1.0,,,"The naval annual: or, Stories of the sea for M.DCCC.XXXVI. Containing The pirate, and The three cutters. | $c: By Captain Marryat. Illustrated with ... engravings from C. Stanfield, esq.",,True,"The naval annual: or, Stories of the sea for M.DCCC.XXXVI. Containing The pirate, and The three cutters",0.1432990161817075,0.0954433847547049,Frederick,m,14.059006211180124,155.6083195092782,26.947222222222223,70.18332561728394,280.225,10119.879930555557,2.2,['unknown'],['fiction and juvenile belles lettres'],"the naval annual: or, stories of the sea for m.dccc.xxxvi. containing the pirate, and the three cutters. | $c: by captain marryat. illustrated with ... engravings from c. stanfield, esq.  the naval annual: or, stories of the sea for m.dccc.xxxvi. containing the pirate, and the three cutters",True
uc1.b3581552,"Mitford, Mary Russell","Mitford, Mary Russell",1787-1855.,1837.0,1837.0,s,1837,    ,London;Saunders and Otley;1873.,1873,"Country lodgings.--The London visitor.--Jesse Cliffe.--Miss Philly Firkin, the China-woman.--The ground-ash.--Mr. Joseph Hanson, the haberdasher.--The beauty of the village.--Town versus country.--The widow's dog.--The lost dahlia.--Honor O'Callaghan.--Aunt Deborah.",,,,,13186364.0,enk,144982,3,3.0,3.0,,,Country stories / | $c: by Mary Russell Mitford.,,True,Country stories,0.0,0.0,Mary,f,5.88855421686747,6.978543692843664,23.642857142857142,20.42006802721089,211.4940476190476,1745.7082979024945,1.5,['fiction'],['english literature'],country stories / | $c: by mary russell mitford.  country stories,True
uc2.ark+=13960=t6nz8661p,"Maxwell, W. H","Maxwell, W. H. (William Hamilton)",1792-1850.,1837.0,1837.0,s,1837,    ,London;R. Bentley;1837.,1837,,,"Peninsular War, 1807-1814|English fiction|History|Napoleonic Conquest, 1808-1813",,,13340042.0,enk,7690538,1,2.0,2.0,v.2,2.0,"The bivouac; or, Stories of the Peninsular War",,True,"The bivouac; or, Stories of the Peninsular War",0.2295265392844338,0.007008700301852,William,m,8.781818181818181,14.323305785123964,24.435714285714287,26.374438775510207,180.025,2233.538660714285,1.8,['fiction'],['unknown'],"the bivouac; or, stories of the peninsular war  the bivouac; or, stories of the peninsular war",True
wu.89090379819,"Lover, Samuel","Lover, Samuel",1797-1868.,1837.0,1837.0,s,1837,    ,London;Baldwin and Cradock;1837.,1837,2d ed.,,"1798-1854|Ireland|Folk-lore, Irish|Legends|Folklore|Short stories, Irish|Croker, Thomas Crofton",,,7468884.0,enk,9183122,1,10.0,3.0,,,Legends and stories of Ireland : | Second series / | $c: By Samuel Lover.,,True,Legends and stories of Ireland : Second series,0.0,0.0,Samuel,m,10.283536585365852,21.873875297442,26.51488095238096,32.64263570011338,275.6815476190476,5093.056326176304,1.6,['fiction'],['unknown'],legends and stories of ireland : | second series / | $c: by samuel lover.  legends and stories of ireland : second series,True
mdp.39015063931540,"Keene, Henry George","Keene, Henry George",1781-1864.,1838.0,1838.0,s,1838,    ,London;J. W. Parker;1838.,1838,4th ed.,,,,,66895241.0,enk,782926,1,1.0,1.0,,,Persian stories; | illustrative of Eastern manners and customs.,,True,Persian stories; illustrative of Eastern manners and customs,0.6700179680203155,0.0556335316458714,Henry,m,7.086956521739131,8.948960302457467,20.05050505050505,37.42169166411591,184.67676767676767,4653.309662279359,0.9,['unknown'],['unknown'],persian stories; | illustrative of eastern manners and customs.  persian stories; illustrative of eastern manners and customs,True
uc2.ark+=13960=t6d225k5q,"Bingley, Thomas","Bingley, Thomas",,1840.0,1840.0, ,1840,    ,London;C. Tilt;1840.,1840,,,Anecdotes|Animals,,,63070008.0,enk,7696862,1,2.0,2.0,,,"Stories illustrative of the instincts of animals, their characters and habits",,True,"Stories illustrative of the instincts of animals, their characters and habits",0.9229598505603688,0.9061024247008724,Thomas,m,7.0285714285714285,7.446802721088434,23.76958525345622,31.65197816899913,184.3410138248848,2435.551912336214,2.0,['unknown'],['unknown'],"stories illustrative of the instincts of animals, their characters and habits  stories illustrative of the instincts of animals, their characters and habits",True
mdp.39015031291944,"Sealy, T. H. (Thomas Henry)","Sealy, T. H. (Thomas Henry)",,1841.0,1841.0,s,1841,    ,London;Bentley;1841.,1841,Ho-Fi of the yellow girdle.--Kublai Khan.--Fashions in feet.--Hyson and Bohea.--The procelain bath.--The emperor Hwang-te.--Marriage in a mask.--The student of Hanlan.--The feast of lanterns.,,,,,3637289.0,enk,2934009,1,2.0,2.0,,,"The porcelain tower : | or, Nine stories of China / | $c: compiled from original sources by T. T. T. [i. e. T. H. Sealy] ; embellished by J. Leech.",,True,"The porcelain tower : or, Nine stories of China",0.2340091707001225,0.2824116582986249,Thomas,m,7.275974025974026,13.907604570753922,22.03470031545741,30.49406402690842,203.198738170347,3747.061449511888,1.7,['unknown'],['unknown'],"the porcelain tower : | or, nine stories of china / | $c: compiled from original sources by t. t. t. [i. e. t. h. sealy] ; embellished by j. leech.  the porcelain tower : or, nine stories of china",True
nyp.33433075767651,"Wilberforce, Robert Isaac","Wilberforce, Robert Isaac",1802-1857.,1842.0,1842.0,s,1842,    ,London;J. Burns;1842.,1842,,,,,,11816307.0,enk,8682479,1,1.0,1.0,,,Rutilius and Lucius : | or stories of the third age / | $c: by Robert Isaac Wilberforce.,,True,Rutilius and Lucius : or stories of the third age,0.2448844813528023,0.0169188916416303,Robert,m,10.151202749140891,13.276106800817182,27.61279461279461,46.877008015055154,264.73400673400675,5937.171671824871,0.8,['fiction'],['unknown'],rutilius and lucius : | or stories of the third age / | $c: by robert isaac wilberforce.  rutilius and lucius : or stories of the third age,True
hvd.hn3fl4,,,,1844.0,1844.0,s,1844,    ,London;Printed by A.J. Valpy;Published by Henry Washbourne;1844.,1844,,,,,,22467214.0,enk,9733332,1,1.0,1.0,v.2,2.0,The Arabian Night's Entertainments: | consisting of one thousand and one stories.,,True,The Arabian Night's Entertainments: consisting of one thousand and one stories,0.1917842793803823,0.3718397230702544,,unknown,12.332326283987916,9.019468606529696,37.52662721893491,29.539231819614155,400.9171597633136,4713.448758796961,2.4,['unknown'],['unknown'],the arabian night's entertainments: | consisting of one thousand and one stories.  the arabian night's entertainments: consisting of one thousand and one stories,True
mdp.39015063941002,"Neale, J. M. (John Mason)","Neale, J. M. (John Mason)",1818-1866.,1848.0,1848.0,s,1848,    ,London;J. Masters;1848.,1848,,,Crusades,,,66268903.0,enk,322981,1,1.0,1.0,,,Stories of the crusades. | $n: I. | II. | $p: De Hellingley. | The crusade of S. Louis.,,True,Stories of the crusades. $n: I. II. $p: De Hellingley. The crusade of S. Louis,0.30161883678832,0.0156871355846746,John,m,15.949579831932772,31.980651083963,34.47933884297521,61.186212235047705,391.3608815426997,9759.630095090652,1.8,['fiction'],['unknown'],stories of the crusades. | $n: i. | ii. | $p: de hellingley. | the crusade of s. louis.  stories of the crusades. $n: i. ii. $p: de hellingley. the crusade of s. louis,True
mdp.39015011948372,"Ollier, Charles","Ollier, Charles",1788-1859.,1848.0,1848.0,s,1848,    ,London;C. Ollier;1848.,1848,,,Supernatural|Occultism,,,445153.0,enk,477496,2,2.0,2.0,,,"Fallacy of ghosts, dreams, and omens; | with stories of witchcraft, life-in-death, and monomania.",,True,"Fallacy of ghosts, dreams, and omens; with stories of witchcraft, life-in-death, and monomania",1.0,0.0,Charles,m,8.819607843137256,14.438046905036526,22.72030651340996,35.10567959953612,204.360153256705,3954.690213003332,1.3,['unknown'],['unknown'],"fallacy of ghosts, dreams, and omens; | with stories of witchcraft, life-in-death, and monomania.  fallacy of ghosts, dreams, and omens; with stories of witchcraft, life-in-death, and monomania",True
mdp.39015078555078,,,,1850.0,1850.0,q,1850,1859,London;G. Ingram;185-?,"<estimate=""185-?]"">","[1] The history of Little Red Riding Hood.--[2] Sleeping beauty.--[3] Dick Whittington and his eat.--[4] Defoe, Daniel. Robinson Crusoe.--[5] Beauty and the beast.",,,,,67409793.0,enk,1369965,1,1.0,1.0,,,Five children's stories.,,True,Five children's stories,0.4183335899934202,0.8141287901219254,,unknown,8.692307692307692,29.597633136094675,23.26829268292683,179.95240928019035,257.7560975609756,33320.67221891731,2.2439024390243905,['unknown'],['unknown'],five children's stories.  five children's stories,True
uc2.ark+=13960=t0ft8nq1w,"Hall, S. C","Hall, S. C., Mrs",1800-1881.,1850.0,1850.0,s,1850,    ,Edinburgh;W. and R. Chambers;1850.,1850,,,Social life and customs,,,18812788.0,stk,7915337,2,3.0,3.0,,,Stories of the Irish peasantry,,True,Stories of the Irish peasantry,0.1707392877346297,0.0332989372723209,S,unknown,20.61461794019933,40.16377302678778,54.71760797342193,39.445171686846734,607.2458471760797,6569.507665478306,2.8,['fiction'],['unknown'],stories of the irish peasantry  stories of the irish peasantry,True
njp.32101067176055,"Mrs. Sherwood, (Mary Martha)","Sherwood, (Mary Martha), 1775-1851, Mrs",1775-1851.,1854.0,1851.0,s,1854,    ,London;Hatchard;1854.,1854,20th ed.,,,,,42634802.0,enk,8956246,1,1.0,1.0,,,"The history of the Fairchild family; or, The child's manual: | being a collection of stories calculated to show the importance and effects of a religious education ...",,True,"The history of the Fairchild family; or, The child's manual: being a collection of stories calculated to show the importance and effects of a religious education",0.5385475995499722,0.9397001684187288,Mary,f,14.344370860927151,28.20591202140257,36.79934210526316,28.27223640927978,384.0625,5422.887541118421,2.5,['unknown'],['unknown'],"the history of the fairchild family; or, the child's manual: | being a collection of stories calculated to show the importance and effects of a religious education ...  the history of the fairchild family; or, the child's manual: being a collection of stories calculated to show the importance and effects of a religious education",True
